variable,p_val,avg_log2FC,p_val_adj
Rpl23a_B5,0.1349368897356513,-0.0606390189682086,0.2933162052304623
Nme2_B5,0.038707628800508,0.1602419666886416,0.1398381237652155
Nme1_B5,0.0095578312296578,0.3354685293938015,0.0603097362176685
Spag9_B5,0.0252441057394617,0.2418764445305709,0.1116398814167573
Rpl23_B5,0.0978804477256489,0.0093552190570361,0.2379747378353454
Eif1_B5,0.038707628800508,0.0676073264404171,0.1398381237652155
Stat3_B5,0.1519429467112972,0.4843157560973941,0.319327731092437
Gna13_B5,0.0408264300091681,-0.1937875270426425,0.1434517711965975
Sumo2_B5,0.0201317774073192,0.3109785566407053,0.0983581124757595
Grb2_B5,0.0573787409700722,0.2075473315899741,0.1709050276518493
Srsf2_B5,0.0009971025540068,2.6080315741766364,0.0181900452488678
Zfp36l1_B5,0.2379772961816305,-0.1730783568681349,0.4439358288770052
Calm1_B5,0.0201317774073192,0.3191664619856356,0.0983581124757595
Ndufb1-ps_B5,0.0189954919346161,-0.6010826676511174,0.0983581124757595
Hsp90aa1_B5,0.015860919266492,0.2759159577239971,0.0847567873303166
Igha_B5,0.0015241724220052,0.3629251842691438,0.0217194570135741
Ighd_B5,0.0096401527677365,-0.3077649064928892,0.0603097362176685
Ighm_B5,1.5876796062554575e-05,-0.3669844783350484,0.0027149321266968
Gdi2_B5,0.1349368897356513,-0.1757387350337794,0.2933162052304623
Arid4b_B5,0.2166433052467157,-2.333800269446238,0.4056131955896539
Irf4_B5,0.0252441057394617,0.2027494866178339,0.1116398814167573
Mef2c_B5,0.0123997777248551,-0.194204464083208,0.0731159307224214
Cox7c_B5,0.1813447646264983,0.0956725558217926,0.3550758177610443
Rps23_B5,0.0007144558228149,-0.0503864548577222,0.0147866671321396
Map3k1_B5,0.1463970666910817,-1.147931922072937,0.3155533412290963
Rps24_B5,0.7344923394458999,0.0010983060080526,0.7550993389493921
Dad1_B5,0.0054933714376438,0.3345366579059084,0.0454532185082462
Psme1_B5,0.00089067411736,-1.2708766039008557,0.0175736854694492
Egr3_B5,0.0003016591251885,-0.5270838059699354,0.0096719457013562
Itm2b_B5,0.0038166558486919,-1.4806101206985525,0.0382064993829692
Tpt1_B5,0.0473446058585377,0.0235961313858718,0.157019177865158
Mycbp2_B5,0.022796347982707,-0.2516088498382509,0.1063138774102608
Sub1_B5,0.038707628800508,0.1148424416242268,0.1398381237652155
Mtdh_B5,0.0577801196730283,-0.6523066658158203,0.1709050276518493
Rpl30_B5,0.3837421608319441,0.0116708186319836,0.5929509894782752
Eif3e_B5,0.015860919266492,-0.1502814089359374,0.0847567873303166
Eif3h_B5,0.0201317774073192,-0.1967610617331254,0.0983581124757595
Rpl8_B5,0.1349368897356513,0.0264339016812206,0.2933162052304623
