Edge Name,KO_pval,KO_median,wk3_pval,wk3_median,wk6_pval,wk6_median
Rps29_T2<==>Rps29_T6_2,0.0178588974698777,0.7976190476190477,0.1,0.8999999999999999,0.1,0.8999999999999999
Rps29_T2<==>Rps28_T1,0.0029292979845809,0.8928571428571428,0.1,0.8999999999999999,0.0,1.0
Ndufb1-ps_B5<==>Ms4a7_M1,0.0365527610528608,0.7380952380952381,0.1,0.8999999999999999,0.1,0.8999999999999999
Ndufb1-ps_T2<==>Rpl39_B1,0.0709876543209876,0.6666666666666666,0.1,0.8999999999999999,0.1,0.8999999999999999
Ndufb1-ps_T4<==>Atp5md_T1,0.0782732726668304,0.6547619047619048,0.1,0.8999999999999999,0.1,0.8999999999999999
Atp5mpl_T3<==>mt-Cytb_B2,0.1835284462694483,-0.5238095238095238,0.1,-0.8999999999999999,0.1,-0.8999999999999999
Ighg2c_B2<==>mt-Atp6_B5,0.186198424740242,0.537718973798513,0.0,1.0,0.1,0.8999999999999999
Ighg2b_B2<==>Rpl39_B2,0.0380541944785791,0.7343236289311631,0.0,-1.0,0.0,-1.0
Ighg2b_B2<==>mt-Cytb_B2,0.0936459642334688,0.6309523809523809,0.0,1.0,0.0,1.0
Ighv2-9-1_B3<==>Ighv1-78_B3,0.1678701287340013,0.5428302214855967,0.1835034190722738,0.8164965809277261,0.1835034190722738,0.8164965809277261
Ighv8-5_B3<==>Ighv1-25_B3,0.0857977816025927,0.7074746235780194,0.0,1.0,0.0,1.0
Ighv1-53_B3<==>Ighv1-2_B3,0.0297100475112988,-0.7582761541694283,0.1383600163540013,0.8616399836459986,0.11741006051088,0.8825899394891199
Ighv8-8_B3<==>Rpl10_M1,0.1723957992157496,-0.5352142283365026,0.0513167019494862,-0.9486832980505138,0.1,-0.8999999999999999
Ighv1-67_B0<==>Iglv2_B4,0.06221667995098,0.6829548776199383,0.0,1.0,0.0,1.0
Ighv1-77_B3<==>Rps2_B2,0.1261989855360892,-0.5868368683374969,0.0,-1.0,0.1,-0.8999999999999999
Ighv1-77_B3<==>Rpl10_B1,0.0688911901119778,-0.670670706671425,0.1256583509747431,-0.8743416490252568,0.1,-0.8999999999999999
Ighv1-85_B3<==>Cfb_M0,0.1593979516397933,-0.5502596681959107,0.0513167019494862,-0.9486832980505138,0.0513167019494862,-0.9486832980505138
Hist1h4d_T5<==>Samsn1_T5,0.0863603458876261,-0.5595238095238095,0.1,0.8999999999999999,0.1,0.8999999999999999
Syk_M0<==>AW112010_M0,0.0855588910126731,0.6428571428571429,0.0,-1.0,0.1,-0.8999999999999999
Map3k1_M5<==>H2-Ab1_B1,0.0936459642334688,-0.6309523809523809,0.1,0.8999999999999999,0.1,0.8999999999999999
Emb_T1<==>Rac2_M0,0.1948760002698574,-0.5119047619047619,0.0,-1.0,0.1,0.8999999999999999
Arf4_T2<==>Rpl10a_M0,0.1600256425388966,0.5476190476190477,0.0,-1.0,0.1,-0.8999999999999999
Tpt1_B3<==>Rps14_B3,0.0265291247694412,0.7857142857142857,0.0,1.0,0.1,0.8999999999999999
Tpt1_B5<==>Rps4x_B1,0.1397777243388446,0.5714285714285714,0.0,1.0,0.1,0.8999999999999999
Col14a1_O7<==>Igfbp6_O7,0.0280049391530718,0.7619047619047619,0.0,1.0,0.0,1.0
Ly6i_M0<==>H2-Aa_M0,0.0372665857186195,0.7380952380952381,0.0,1.0,0.0,-1.0
Tspo_M0<==>Psmb8_M0,0.0494962967370297,0.7142857142857142,0.1,0.8999999999999999,0.0,1.0
Retnlg_M2<==>H2-Q7_T7,0.1531785875722235,-0.5552516953591398,0.0,-1.0,0.1,-0.8999999999999999
Rps2_B2<==>Rps2_T4,0.0307154499851986,0.7619047619047619,0.0,1.0,0.1,0.8999999999999999
Msrb1_M0<==>Psmb8_M0,0.1494927998498016,-0.5595238095238095,0.0,1.0,0.0,1.0
Rps28_T2<==>mt-Atp8_B3,0.1308793399965805,0.5833333333333334,0.1,0.8999999999999999,0.0,1.0
Rps18_M4<==>Rps14_M4,0.0587579433025774,0.6904761904761905,0.1,0.8999999999999999,0.1,0.8999999999999999
Rps18_T5<==>Rpl17_T5,0.1494927998498016,0.5595238095238095,0.1,0.8999999999999999,0.0,1.0
H2-Aa_B0<==>mt-Nd4_B1,0.1494927998498016,-0.5595238095238095,0.1,0.5999999999999999,0.1,-0.8999999999999999
