gene_cell,source,log2fc_median_LP
Atxn7l3b_M3,DEG,0.0870893978649679
Aup1_M5,DEG,-2.3948302163110053
Aurkaip1_M3,DEG,-1.1727211084209872
Aurkaip1_M4,DEG,-0.586320109568496
Aurkaip1_M5,DEG,-1.3360269066978068
Aurkaip1_T5,DEG,-0.4145359406611727
Aurkb_T5,Signature,
Avpi1_M4,DEG,0.8579011939162833
Avpi1_T4,Signature,-0.3284172251176417
Axl_M1,DEG;Signature,-0.757242648711618
B2m_B1,DEG,-0.1701506740254304
B2m_B2,DEG,-0.0712669733839402
B2m_B3,DEG,-0.2121610992125989
B2m_M0,DEG,-0.0584203049248744
B2m_M1,DEG,-0.0670452373842042
B2m_M2,DEG,-0.215512721116804
B2m_M3,DEG,-0.1502636607331418
B2m_M4,DEG,-0.1252816913983832
B2m_M5,DEG,-0.1652114930786287
B2m_M7,DEG,-0.1592094712301443
B2m_O10,DEG,-0.1890588795336829
B2m_O7,DEG,-0.2655252133740978
B2m_T0,DEG,-0.0630343387854124
B2m_T2,DEG,-0.0544592909217286
B2m_T3,DEG,-0.0366079559827704
B2m_T4,DEG,-0.1312124889070999
B2m_T6,DEG,-0.128280009203572
B4galt5_M1,DEG,0.4660322715179869
BC005537_M0,DEG,-0.3481574699668426
BC005537_M1,DEG,0.0838939494085795
BC005537_O4,DEG,0.4383962659942129
BC005537_O7,DEG,0.3386903333004449
BC018473_M2,DEG;Signature,-0.8716389858167265
BC018473_M7,DEG,-2.233284771824626
BC018473_T0,DEG;Signature,-2.715829930403586
BC018473_T4,DEG,-0.8968652238478765
BC018473_T5,DEG,-2.9660563604121504
BC018473_T7,DEG,-1.1728411024424907
BC035044_M4,Signature,0.180430457982096
BE692007_B2,DEG;Signature,-0.253926369990199
BE692007_T6_3,Signature,-1.4218826467552723
Bag1_M1,DEG,-1.6196811542599658
Bag1_M4,DEG,-0.2444178645851807
Bag3_O7,DEG,0.5490176782886074
Banf1_M3,DEG,-0.3773028304327788
Banf1_T5,DEG,-0.1599629439145029
Basp1_B3,DEG,1.3453772221630274
Basp1_B4,Signature,0.3039873443546198
Basp1_M0,DEG,-0.2520898844051163
Basp1_M3,DEG,0.1266163213331821
Basp1_M4,DEG,0.0881215213287166
Basp1_M5,DEG,0.2791680241693783
Basp1_M6,DEG;Signature,0.5234056126006941
Basp1_T7,Signature,0.0325358522119277
Batf_T5,DEG,-0.5591307245577354
Bax_M0,DEG,-0.6113817605992599
Bax_M3,DEG,-0.2146303257499171
Bax_M5,DEG,-0.4292480114969328
Bax_T5,DEG,-0.5409804049702786
Baz1a_M3,DEG,0.2135830345667908
Baz1a_M4,DEG,-0.2641943820806922
Baz1a_M5,DEG,0.4071169608464633
Bcap31_M5,DEG,-0.9937948646196052
Bcl10_M3,DEG,0.1366195661812689
Bcl11a_M7,Signature,-0.595234364524642
Bcl2a1a_M3,DEG,0.1885532531542206
Bcl2a1b_B1,Signature,
Bcl2a1b_M0,DEG,0.2210984418122694
Bcl2a1b_M1,DEG,0.0424073795818022
Bcl2a1b_M2,DEG,0.1479981134286693
Bcl2a1b_M3,DEG,0.2302307560410996
Bcl2a1b_T3,DEG,-0.4874888813010088
Bcl2a1b_T4,DEG,-0.3418847770889268
Bcl2a1d_B5,Signature,
Bcl2a1d_M3,DEG,0.2139325579852597
Bcl2a1d_T4,DEG,-0.6688644463861696
Bcl2l11_M0,DEG,-2.8711511095929443
Bcl2l11_M7,DEG,0.3006054640329891
Bclaf1_M3,DEG,-0.2491066123204746
Bclaf1_M4,DEG,-0.3943427579058315
Bcr_O10,DEG,0.4888898467716555
Bet1_B3,DEG,0.1395513797335526
Bgn_O4,DEG,0.0811027395118944
Bhlhe40_B6_0,Signature,-0.5685432870181848
Bhlhe40_M0,DEG,-0.9514642124753848
Bhlhe40_M3,DEG,0.0252993180275803
Bhlhe40_M4,DEG,0.282903822881503
Bhlhe40_T1,DEG,0.4380318597155816
Bhlhe40_T2,DEG,-1.1945675067794927
Bhlhe40_T4,DEG,-0.6020175732191558
Bhlhe40_T5,DEG,-0.2334798932915242
Bin1_M4,DEG,1.423908595484947
Birc2_M3,DEG,-0.4599808172622781
Birc5_B8,Signature,0.0362454519884358
Birc6_M4,DEG,-0.5861859135504486
Bloc1s2_M4,DEG,-0.6258599640255919
Blvrb_M0,DEG,-0.7481142829981685
Blvrb_M1,DEG,-0.3594562375143638
Blvrb_M5,DEG,-3.6723896842286856
Bmp4_O13,DEG,0.4968217934642783
Bmp5_O13,Signature,1.7178197086065905
Bmpr2_O7,DEG,-2.180560490617895
Bnip3l_M3,DEG,-1.61859289802681
Bola2_M1,DEG,-0.3636628811240247
Brd2_M0,DEG,-0.761263535228665
Brd2_O10,DEG,0.5388531772785653
Bri3_M0,DEG,-0.2171817604538099
Bri3_M3,DEG,-0.2861163498121301
Bri3_M5,DEG,-0.3106709613216217
Bri3bp_M4,DEG,-0.7326397925493771
Brk1_M3,DEG,-0.1480442912333843
Bsg_M0,DEG,-0.5522633033341348
Bsg_M1,DEG,-0.2609356815420006
Bsg_M5,DEG,-0.3177589647290005
Bsg_T5,DEG,0.0172725399993431
Bst2_B3,DEG,0.3664752523932355
Bst2_O10,DEG,-0.5614309380190103
Bst2_O4,DEG,-0.5881566541827918
Btf3_B3,DEG,0.1431732709462703
Btf3_M0,DEG,-0.1167833122316372
Btf3_M1,DEG,0.0512593925571742
Btf3_O7,DEG,0.0519352664396104
Btf3_T1,DEG,0.0058258953103054
Btf3_T2,DEG,-0.085097649892106
Btf3_T4,DEG,-0.0649305175697227
Btf3_T5,DEG,-0.0625274302540078
Btg1_B1,DEG,-0.2554263184235961
Btg1_B2,Signature,-0.0619801908891261
Btg1_M0,DEG,-0.1634712589815668
Btg1_M2,DEG,0.0509056158481781
Btg1_M5,DEG,-0.1321416535425615
Btg1_M6,Signature,0.1164712403956832
Btg1_T0,DEG,-0.1728301963447457
Btg1_T1,DEG,-0.1472515917754624
Btg1_T2,DEG,-0.0720005328622436
Btg1_T3,DEG,-0.2935562131235979
Btg1_T5,DEG,0.1584677350489646
Btg2_B1,DEG,-2.699146942722773
Btg2_B3,DEG,-0.3948765729459823
Btg2_B5,DEG,-2.703641182838666
Btg2_M0,DEG,-0.4226350338298787
Btg2_M1,DEG,-0.8426181291204553
Btg2_M2,DEG,0.1149681412570698
Btg2_O7,DEG,-0.5709519582055611
Btg2_T4,DEG,-0.5299609773692845
