Difference_threshold,Permutation_FDR_cutoff,N_edges,N_nodes,N_valid_KO_p,KO_P_min,KO_P_1pct,KO_P_5pct,KO_P_10pct,KO_P_25pct,KO_P_median,KO_P_75pct,KO_P_90pct,KO_P_95pct,KO_P_99pct,KO_P_max,KO_FDR_min,KO_FDR_1pct,KO_FDR_5pct,KO_FDR_10pct,KO_FDR_25pct,KO_FDR_median,KO_FDR_75pct,KO_FDR_90pct,KO_FDR_95pct,KO_FDR_99pct,KO_FDR_max,N_KO_FDR_0.001,N_KO_FDR_0.005,N_KO_FDR_0.01,N_KO_FDR_0.05,N_KO_FDR_0.1,N_KO_FDR_0.2
0.53,0.0005,16698,5306,16698,0.0,0.008352778689086,0.0244100332032985,0.0365527610528608,0.09109880780652943,0.1339745962155613,0.15024489791810566,0.1680479733524139,0.175087026451086,0.1795617565065983,0.2225288721578459,0.0,0.18111833941615685,0.18111833941615685,0.18111833941615685,0.18111833941615685,0.18111833941615685,0.18111833941615685,0.18111833941615685,0.18111833941615685,0.18111833941615685,0.2225288721578459,4,4,4,4,4,16690
0.53,0.001,18136,5400,18136,0.0,0.008352778689086,0.0244100332032985,0.0365527610528608,0.0935780264853634,0.1339745962155613,0.1479564123409226,0.1671590702852636,0.175087026451086,0.1795617565065983,0.2376426561588487,0.0,0.18105475226821288,0.18105475226821288,0.18105475226821288,0.18105475226821288,0.18105475226821288,0.18105475226821288,0.18105475226821288,0.18105475226821288,0.18105475226821288,0.2376426561588487,4,4,4,4,4,18127
0.53,0.002,18913,5432,18913,0.0,0.008352778689086,0.0251997853394855,0.0372665857186195,0.0966806546010586,0.1339745962155613,0.1479564123409226,0.1671590702852636,0.175087026451086,0.1795617565065983,0.2376426561588487,0.0,0.18099315658392023,0.18099315658392023,0.18099315658392023,0.18099315658392023,0.18099315658392023,0.18099315658392023,0.18099315658392023,0.18099315658392023,0.18099315658392023,0.2376426561588487,4,4,4,4,4,18904
0.53,0.005,19538,5446,19538,0.0,0.008352778689086,0.0257277143695454,0.0372665857186195,0.0996317812363818,0.1339745962155613,0.1479564123409226,0.1662057329463953,0.175087026451086,0.1795617565065983,0.2376426561588487,0.0,0.18095652608308554,0.18095652608308554,0.18095652608308554,0.18095652608308554,0.18095652608308554,0.18095652608308554,0.18095652608308554,0.18095652608308554,0.18095652608308554,0.2376426561588487,5,5,5,5,5,19529
0.53,0.01,19542,5446,19542,0.0,0.008352778689086,0.0257277143695454,0.0372665857186195,0.0996317812363818,0.1339745962155613,0.1479564123409226,0.1662057329463953,0.175087026451086,0.1795617565065983,0.2376426561588487,0.0,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.2376426561588487,5,5,5,5,5,19533
0.53,0.02,19542,5446,19542,0.0,0.008352778689086,0.0257277143695454,0.0372665857186195,0.0996317812363818,0.1339745962155613,0.1479564123409226,0.1662057329463953,0.175087026451086,0.1795617565065983,0.2376426561588487,0.0,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.2376426561588487,5,5,5,5,5,19533
0.53,0.05,19542,5446,19542,0.0,0.008352778689086,0.0257277143695454,0.0372665857186195,0.0996317812363818,0.1339745962155613,0.1479564123409226,0.1662057329463953,0.175087026451086,0.1795617565065983,0.2376426561588487,0.0,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.2376426561588487,5,5,5,5,5,19533
0.53,0.1,19542,5446,19542,0.0,0.008352778689086,0.0257277143695454,0.0372665857186195,0.0996317812363818,0.1339745962155613,0.1479564123409226,0.1662057329463953,0.175087026451086,0.1795617565065983,0.2376426561588487,0.0,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.2376426561588487,5,5,5,5,5,19533
0.53,0.2,19542,5446,19542,0.0,0.008352778689086,0.0257277143695454,0.0372665857186195,0.0996317812363818,0.1339745962155613,0.1479564123409226,0.1662057329463953,0.175087026451086,0.1795617565065983,0.2376426561588487,0.0,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.18095623951831863,0.2376426561588487,5,5,5,5,5,19533
0.54,0.0001,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
0.54,0.0005,14603,5110,14603,0.0,0.0070129302935945,0.0244100332032985,0.035111812831785265,0.0870781442769839,0.1339745962155613,0.1479564123409226,0.1619382284662839,0.163070254243369,0.1692429633637798,0.201647779586446,0.0,0.16923565650742073,0.16923565650742073,0.16923565650742073,0.16923565650742073,0.16923565650742073,0.16923565650742073,0.16923565650742073,0.16923565650742073,0.17092309445478762,0.201647779586446,4,4,4,4,4,14602
0.54,0.001,15937,5214,15937,0.0,0.007399787982360558,0.0244100332032985,0.036500619704504786,0.0912136362008388,0.1339745962155613,0.144510730448313,0.1611052103257247,0.163070254243369,0.16916269685024565,0.201647779586446,0.0,0.16875653518679035,0.16875653518679035,0.16875653518679035,0.16875653518679035,0.16875653518679035,0.16875653518679035,0.16875653518679035,0.16875653518679035,0.17078172408467346,0.201647779586446,4,4,4,4,4,15936
0.54,0.002,16703,5262,16703,0.0,0.008173823883797638,0.0244100332032985,0.0380541944785791,0.0952587302298901,0.1339745962155613,0.1422268939969897,0.1611052103257247,0.163070254243369,0.1686773897076765,0.201647779586446,0.0,0.16849752283495156,0.16849752283495156,0.16849752283495156,0.16849752283495156,0.16849752283495156,0.16849752283495156,0.16849752283495156,0.16849752283495156,0.17038089261534353,0.201647779586446,4,4,4,4,4,16702
0.54,0.005,17325,5284,17325,0.0,0.008352778689086,0.02520953695198378,0.0387306322238119,0.0982254175318144,0.1339745962155613,0.1411764243053509,0.1611052103257247,0.163070254243369,0.16856615394580485,0.201647779586446,0.0,0.16830645506769734,0.16830645506769734,0.16830645506769734,0.16830645506769734,0.16830645506769734,0.16830645506769734,0.16830645506769734,0.16830645506769734,0.17025880708987956,0.201647779586446,5,5,5,5,5,17324
