Edge Name,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw0_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw0_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw1_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw1_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw10_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw10_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw2_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw2_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw3_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw3_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw4_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw4_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw5_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw5_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw6_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw6_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw7_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw7_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw8_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw8_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw9_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw9_sign,Present_Count
Hsp90b1_B3<==>Rpn1_B3,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Hspa5_B3<==>Manf_B3,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Hspa5_B3<==>Txn1_B3,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Hspa5_M1<==>Sqstm1_M3,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Igha_M0<==>Scand1_M0,True,-,True,-,True,-,True,-,True,-,True,-,True,-,True,-,True,-,True,-,True,-,11
Ighv14-2_B3<==>Ighv14-3_B3,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Igkc_M0<==>Itgb1_M0,True,-,True,-,True,-,True,-,True,-,True,-,True,-,True,-,True,-,True,-,True,-,11
Iglc1_B3<==>Taldo1_M0,True,-,True,-,True,-,True,-,True,-,True,-,True,-,True,-,True,-,True,-,True,-,11
Iglc2_B2<==>Iglc3_B2,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Il1b_M0<==>Ptgs2_M0,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Il1rn_M0<==>Marcksl1_M0,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Il1rn_M0<==>Ywhaz_M0,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
Il2rb_T4<==>Sat1_B1,True,-,True,-,True,-,True,-,True,-,True,-,True,-,True,-,True,-,True,-,True,-,11
Inhba_M0<==>Srgn_M0,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,True,+,11
