gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infTLSwk6_median,median_IL10_KOTLS_median,FDR_BH
Acbd3,0.0802713616470359,0.291183571126642,0.8459194305078578,0.1829917590391812,0.5908514492947381,2.012851396059302,0.4759747778418493,0.7227268735621589,0.4742730971444011
H3f3a,0.1568627450980392,0.5208065412399778,0.9699293482575216,-0.0770682781879847,-0.04050294483832,-0.0061622426278458,2.80133612410749,2.7248352664540647,0.6895356779925788
Wdr26,0.0201317774073192,0.3837421608319441,0.9699293482575216,-0.0453624179339171,0.123011330165056,0.2828101648515234,0.7317982055239575,0.7946056204937801,0.5656199558095842
Srp9,0.2082876875446535,0.7344923394458999,1.0,-0.0514588394802542,0.0320463548715803,0.1358820944662679,0.9438359455251492,0.965925794797683,0.7634943326471614
Celf2,0.1423404666785485,0.4726680955783123,1.0,-0.3898730790945826,-0.1374218845663593,0.1402127908456382,0.8460125380239928,0.7651109947741861,0.6468452405098767
Atp5c1,1.5876796062554575e-05,0.0029848376597602,0.1152655394141462,-0.3903437390935039,-0.27326079021954,-0.15664424936422,1.239637746038585,1.0215606933298145,0.023302318833438255
Vim,0.0010637453361911,0.0314201794077955,0.2379772961816305,0.0241550311128567,0.0762621626312982,0.1425834572348153,2.620424147088962,2.7601433339005226,0.10491930114933481
Abi1,0.2621604028017205,0.7283560871056942,1.0,-0.2178934622359002,-0.0417657109652181,0.1581277683638294,0.6933833120866578,0.6750634518859511,0.7634943326471614
Il1rn,0.1152655394141462,0.4726680955783123,0.9699293482575216,-0.0147779871153681,0.1609764209477121,0.3762763268434257,1.5165864543772538,1.6949742230581113,0.6468452405098767
Edf1,0.3339338001278603,0.7920774787647853,1.0,-0.0855296372706623,0.0367775330836304,0.1564693190814505,1.0821916817280623,1.1087582678485135,0.7977150408912251
Rpl7a,0.038707628800508,0.1568627450980392,0.5208065412399778,-0.1270341276977802,-0.066539746231405,-0.0180031538773835,2.2999141838032573,2.196928325487165,0.30250192070013693
Ralgds,0.090108576081082,0.2872414592292746,0.7843493017003418,-2.6140348549398267,-0.4378781053358146,-0.1479528563895936,0.6705383181912343,0.5010176065585222,0.46852641476590606
Set,0.1568627450980392,0.6784313725490196,1.0,-0.1471942967407553,-0.0076361614757902,0.1418819625726815,0.9713960228513072,0.9673077829408588,0.7492529890004783
Fnbp1,0.0108598228589445,0.0583492399385958,0.2799063505905702,-0.6174621649352491,-0.3385467386884417,-0.1380251006185532,0.7539717345164543,0.603948827328304,0.16308972743330977
Rpl12,0.0073033261887751,0.1065729935698976,0.5208065412399778,-0.08845211370042,-0.060979067436859,-0.0246801559409058,2.734796994411915,2.6206465977649724,0.24772203022818087
