gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infNonTLSwk6_median,median_IL10_KOnonTLS_median,FDR_BH
Fam76a,3.529139494825728e-05,0.0007877956543109,0.0133949167537699,-29.15588491102396,-28.98075252775408,-28.479172248105115,0.5297559093222144,0.0,0.0046023850954680185
Wasf2,0.0006834348667358,0.0035319278065916,0.0209734342700645,-29.45283648348174,-29.29408744419151,-29.114854494518667,0.6582623512751937,0.0,0.010992899663786802
Cd52,0.0314201794077955,0.3053901722632373,0.9699293482575216,-0.0515134085002823,-0.0197178531423886,0.0085012904763196,2.722885498649388,2.6861584239689225,0.3890849684274299
Sh3bgrl3,1.5876796062554575e-05,1.5876796062554575e-05,1.5876796062554575e-05,0.505733240257129,0.5547585761769378,0.6016440005399183,1.601487603872825,2.354754946886075,0.0013718591185205543
Tmem50a,0.0010637453361911,0.0314201794077955,0.2387846312614107,-0.2993073788024079,-0.1972933596246865,-0.0862919523822121,1.0152539764867847,0.8841567573319868,0.05509085199428251
Rsrp1,0.0824958323410335,0.3053901722632373,0.7920774787647853,0.0103032302173737,0.1834649975320187,0.3610089117713683,0.7639789264864019,0.8674060020892398,0.3890849684274299
Syf2,0.002408002971984,0.0286888103198488,0.2446731418142203,-28.93231295955959,-27.825747147920147,0.0,0.2378951729892921,0.0,0.05163985857572784
Runx3,1.5876796062554575e-05,1.5876796062554575e-05,0.0004763038818766,0.188205276655362,0.2537602799558616,0.3304838649045515,1.59105099318664,1.8983246450606788,0.0013718591185205543
Clic4,1.5876796062554575e-05,1.5876796062554575e-05,0.0010637453361911,0.2943817152850658,0.3686618909736192,0.4367518013556943,1.2735782189819802,1.6452747369324212,0.0013718591185205543
Srrm1,0.0001111375724378,0.0029848376597602,0.0978804477256489,-0.2904495281338576,-0.1948618126732457,-0.1042382687409682,1.027386050463906,0.8961963362349712,0.009467531952051885
Fuca1,9.016783792651294e-05,0.0001219709860793,0.0003895119682041,-30.12884946721099,-30.051486659316524,-29.963566737218724,1.112988071077855,0.0,0.002385890623763593
Rpl11,0.015860919266492,0.1349368897356513,0.7344923394458999,-0.0742082224503678,-0.0389072764723159,-0.0024710922665243,2.9296402141488214,2.8492165020202487,0.19411787208427947
C1qb,1.5876796062554575e-05,3.175359212510915e-05,0.0004763038818766,-0.2172698913523176,-0.1963546013366152,-0.1749365549135368,3.86884288841479,3.3761300667785763,0.0013718591185205543
C1qc,1.5876796062554575e-05,3.175359212510915e-05,0.0001905215527506,-0.2552590130406341,-0.229801778907217,-0.2014324008631749,3.441775820668357,2.93393946717903,0.0013718591185205543
C1qa,1.5876796062554575e-05,1.5876796062554575e-05,3.175359212510915e-05,-0.2362567323710519,-0.2123914340642222,-0.1877059179334625,3.890526025400968,3.358650275571001,0.0013718591185205543
Cdc42,0.0073033261887751,0.1152655394141462,0.5713582599031516,0.0076637601924784,0.0355326857130139,0.064494889530283,1.99370966286057,2.0432622329122125,0.16833744245375307
Eif4g3,3.529139494825728e-05,0.0001720247930818,0.0024238779803224,-29.23758711440705,-29.079384920339223,-28.76262871803272,0.5672403535010783,0.0,0.002385890623763593
Hp1bp3,0.0001720247930818,0.0027786850681888,0.0298677932975399,-28.960339798506848,-28.283432528227788,0.0,0.326709354818089,0.0,0.009280909725010856
Ddost,3.529139494825728e-05,0.0001720247930818,0.0027786850681888,-29.239049199130843,-29.09588913606065,-28.735297648174427,0.5737668068246049,0.0,0.002385890623763593
Micos10,0.0123997777248551,0.0824958323410335,0.428008652853853,-0.1950423136848106,-0.1133671624844546,-0.0292490797323094,1.12368842159026,1.0389856782858238,0.12539091987276887
Capzb,0.0201317774073192,0.1813447646264983,0.7344923394458999,-0.1131528650625437,-0.0585219481904331,-0.0100789375324117,1.43216702100418,1.3736978570382612,0.2489232794685292
Sdhb,3.529139494825728e-05,6.034243330066384e-05,0.0001762973367313,-29.56868909902195,-29.4481414551752,-29.34597406732164,0.732443103195222,0.0,0.0018714133165346587
Atp13a2,0.0007335473709934,0.0027786850681888,0.0298677932975399,-28.840402066050707,-27.82080516596471,0.0,0.237081057994175,0.0,0.009280909725010856
Necap2,0.0007335473709934,0.0027786850681888,0.0298677932975399,-29.01860423348484,-28.201761218287277,0.0,0.3087343148063932,0.0,0.009280909725010856
Efhd2,0.047128681432087,0.1349368897356513,0.4268635389378423,0.0422871309025328,0.0819713756482462,0.1202844091013686,2.0007159695963863,2.1181897536134886,0.19411787208427947
Dhrs3,3.529139494825728e-05,0.0007335473709934,0.009501095540355,-29.16212970521992,-28.967798747544627,-27.97584040983312,0.5250205837781474,0.0,0.004351269632483577
Tnfrsf1b,0.0007144558228149,0.0073033261887751,0.038707628800508,0.3428604862468999,0.4776341581996399,0.6016930891452148,0.7591650278405858,1.0575364227712174,0.019212128766193125
Pgd,0.0027786850681888,0.009501095540355,0.088567502575371,-28.34361473913313,-26.559517425723595,0.0,0.098903443161492,0.0,0.01993396992760822
Eno1,0.0020512277346933,0.0209901392215157,0.1173123185975081,-29.153167145685348,-28.99752764135981,-28.68549768238144,0.5359516588138329,0.0,0.0393470258704425
Park7,0.0001762973367313,0.0007884764832411,0.0059596923407427,-29.50384540651116,-29.355728606866936,-29.20313198437064,0.687248033576005,0.0,0.0046023850954680185
Rpl22,0.4268635389378423,0.7920774787647853,1.0,-0.0267412328208049,-0.0068188980198327,0.0176322000909176,2.487158286353625,2.4736096953862816,0.7999588467126936
Rer1,0.0002391009389611,0.0012730863420067,0.0130722697176655,-29.307748020932404,-29.159513144105667,-28.93732720349641,0.5996366258010495,0.0,0.006664552283227051
Gnb1,0.1349368897356513,0.7064618559974598,1.0,-0.0427920526161486,0.0377903570165169,0.1278030660703941,1.0757622084257277,1.10421364399866,0.752159563465827
Nadk,0.0001720247930818,0.0027786850681888,0.0298677932975399,-29.03228133516658,-28.52862803273217,0.0,0.3872333719511502,0.0,0.009280909725010856
Cdk11b,0.0001720247930818,0.0027786850681888,0.009501095540355,-28.9985901097124,-28.414910930994303,-26.555513627174413,0.3578831969126679,0.0,0.009280909725010856
Ssu72,3.529139494825728e-05,0.0001720247930818,0.0007335473709934,-29.1636147856529,-29.0637484232583,-28.904347119756565,0.5611255719193968,0.0,0.002385890623763593
Mrpl20,0.0030690378069328,0.0286888103198488,0.2227959761712598,-28.99261268405796,-28.750564518952068,-27.61435158742372,0.4516295201653268,0.0,0.05163985857572784
Ccnl2,0.0075721656792071,0.0759886785541828,0.4198490637342591,-28.33077162748496,-26.349730637477315,0.0,0.0855183463591022,0.0,0.11805383989667685
