gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infNonTLSwk3_median,median_Salmonella_infNonTLSwk6_median,FDR_BH
Rpl4,0.0147630147630147,0.1948717948717948,0.8784770784770783,0.0294152009688912,0.1084394818928437,0.1859842945378522,1.895894067492075,2.0458665900584747,0.7721257302743612
Rab11a,0.1275062708469737,0.6339972307873878,1.0,-0.4267623922747149,0.4967310347095628,28.86981109625592,0.3395270042498275,0.4926175044160978,0.7721257302743612
Dennd4a,0.1303807303807303,0.5053613053613053,1.0,-0.1324522296337656,0.1822551690454666,0.7828489217221173,0.8340921977738146,0.9359907100111876,0.7721257302743612
Spg21,0.1221757823939265,0.6339972307873878,1.0,-1.090717323250466,0.2136019137767944,28.96813978597729,0.3974172541713153,0.488966124168722,0.7721257302743612
Plekho2,0.1048951048951048,0.6453768453768453,1.0,-0.3211560228700223,-0.0231772705149377,0.2637760875444175,1.0085217412914649,0.9898332524520446,0.7721257302743612
Ppib,0.0003108003108003,0.0206682206682206,0.3282051282051281,0.0516201837440716,0.1988408183905389,0.3832577120200319,1.2669319956871,1.4531695114933971,0.7721257302743612
Rab8b,0.4418026418026417,0.8784770784770783,1.0,-0.1230642656893091,0.0152268499881241,0.1080489007203515,1.141494129893025,1.151776630917605,0.8784770784770783
Rps27l,0.0104118104118104,0.0649572649572649,0.3282051282051281,0.0857318285355826,0.1814826940628443,0.2835909379779613,1.32219531075498,1.5026652245468577,0.7721257302743612
Bnip2,0.1149164463964125,0.6314395816467896,1.0,-0.8583255834386355,-0.1937264085650247,0.5565390811833041,0.5959367020779623,0.5202805133202536,0.7721257302743612
Adam10,0.0590766031498228,0.3252709799742125,0.956284952863831,-29.16803085156288,-1.639348387658878,26.76489468548103,0.4517409863672247,0.1286602978984262,0.7721257302743612
Arpp19,0.0311904703243524,0.3282051282051281,0.959129759129759,-0.0367927499164714,0.1607226656365495,0.5532539039815197,0.6392226483755005,0.7118110222896182,0.7721257302743612
Myo5a,0.1826944712149479,0.7011912626598479,1.0,-1.6367188896465743,0.4376896000996024,28.95368364679992,0.292319822670508,0.4589034640295563,0.7721257302743612
Mapk6,0.0498834498834498,0.3711478933651345,0.959129759129759,-0.0632433038571331,0.190651977242346,0.8379258764188362,0.5927489428575514,0.676279705887088,0.7721257302743612
Eef1a1,0.1605283605283605,0.5737373737373737,1.0,-0.0032427462888315,0.0241453218646064,0.0504211243408977,3.75674146832693,3.8201241110266775,0.7721257302743612
Cox7a2,0.1605283605283605,0.7209013209013208,1.0,-0.076196074972478,0.0290791292154888,0.1563659110930747,1.297522612550565,1.3204596491430265,0.7721257302743612
Tmem30a,0.1388637976716842,0.5809841599453014,1.0,-28.44631539990388,-0.0269191383832494,28.55287048528148,0.2406394147360892,0.2054952020658425,0.7721257302743612
Syncrip,0.0095379523581334,0.1859940458034531,0.8744661318050502,-0.0063606479193262,1.3302744813308365,29.28521169383661,0.2459648379655982,0.6116467879295926,0.7721257302743612
Bcl2a1d,0.1043473193473193,0.6453768453768453,1.0,-0.1856192725618376,0.1029361594980867,0.3909588550142615,0.8541355547715606,0.9189835677722432,0.7721257302743612
Bcl2a1a,0.0029526029526029,0.0649572649572649,0.4433916083916068,0.0971282453533812,0.4132082680475762,0.7981611214644893,0.8675751182773634,1.16331113837782,0.7721257302743612
Bcl2a1b,0.0029526029526029,0.0281274281274281,0.1948717948717948,0.1119261058726442,0.238991126752929,0.3988638347627136,1.556792576445727,1.8506598520938151,0.7721257302743612
Tmed3,0.0641787341204117,0.3112018520843261,0.956284952863831,-0.0042461501087847,2.299472044577265,29.032534832405062,0.0988875895137382,0.4762313770132112,0.7721257302743612
Ctsh,0.0104118104118104,0.1605283605283605,0.7209013209013208,0.0368866428398834,0.1148161829490849,0.1905707365991723,1.8378571856831312,1.989371416927435,0.7721257302743612
Morf4l1,0.1948717948717948,0.7209013209013208,1.0,-0.1471977214589802,-0.0480251901892717,0.0549624703440214,1.507114797018137,1.45943605955897,0.7721257302743612
U2surp,0.0621104744239398,0.5255516528137945,1.0,-0.2123309202909487,0.6603514728032138,2.51045785342853,0.3396189586906115,0.5407497261743943,0.7721257302743612
Atp1b3,0.0029526029526029,0.0829836829836829,0.5737373737373737,-0.3603147699721823,-0.2240126528477999,-0.0725181570285861,1.2482456578634864,1.0706759426937675,0.7721257302743612
Rnf7,0.1531983720915998,0.7090730856847203,1.0,-0.6227868778567286,0.0920293518166457,1.512741724027896,0.4653480929763,0.5130169199757685,0.7721257302743612
Anapc13,0.2172187573017174,0.6217687412649331,1.0,-28.49748387201669,-0.2981842425131624,27.9607181978782,0.265891697162589,0.222433198969276,0.7721257302743612
Trf,0.1948717948717948,0.5737373737373737,1.0,-0.2684244795228533,-0.1383710402130566,0.0186574449783543,1.5883429604334889,1.4466093102390023,0.7721257302743612
Cdv3,0.0818084869467632,0.3282051282051281,0.959129759129759,-0.0274682042839966,0.2318818534668187,0.5279920871425431,0.621421064274584,0.7355384491211678,0.7721257302743612
Rpl29,0.0518570202911714,0.5053613053613053,1.0,-0.1495447493280728,0.1409338783279082,0.558773212034443,0.7177560841878537,0.7931266735600322,0.7721257302743612
Manf,0.0498834498834498,0.3282051282051281,0.959129759129759,-0.0272743730801153,0.2126990020095151,0.4678552668213167,0.8466816413551752,0.9856803375748168,0.7721257302743612
Gnai2,0.0146542346542346,0.4418026418026417,1.0,-0.0235910365000138,0.0331854650477862,0.0913131341718158,2.009675372537377,2.057575211296282,0.7721257302743612
Rhoa,0.0281274281274281,0.3822843822843822,1.0,-0.1067376882116944,-0.0401793469481417,0.0303970691242829,1.5437715759540689,1.50353830463836,0.7721257302743612
Gpx1,0.0649572649572649,0.5053613053613053,1.0,-0.0025833107556272,0.065304200163739,0.1429451009317554,1.883977812598168,1.9714512641176176,0.7721257302743612
Arih2,0.0036194871540827,0.0649572649572649,0.3448676138108178,0.1109450606034769,0.6149502489378987,29.14051262800799,0.4042267641914787,0.6328953494089423,0.7721257302743612
Shisa5,0.0649572649572649,0.5053613053613053,1.0,-0.3071282758944307,-0.1066815548520913,0.0937958061392789,0.7158896657737646,0.665318677887043,0.7721257302743612
Tma7,0.0206682206682206,0.2786324786324786,0.959129759129759,-0.0190368878820414,0.1170780617396431,0.2367554505491902,1.2076852539819427,1.311534767028165,0.7721257302743612
Ccdc12,0.1705610877239446,0.7058654396235203,1.0,-0.3389096723758057,0.4128207831655199,29.02963027520753,0.425636556615203,0.565197619387819,0.7721257302743612
Ccrl2,0.0046620046620046,0.1303807303807303,0.7209013209013208,-0.3637976533694467,-0.191368167797947,0.0054540708563257,1.6506431125953336,1.4468593211383662,0.7721257302743612
Pdcd6ip,0.1146659128588798,0.5283087192353848,1.0,-0.4340815529749035,-0.1765817510209146,0.1458895446763914,0.692173754708018,0.6136677483565365,0.7721257302743612
