gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Control_median,median_Salmonella_infNonTLSwk6_median,FDR_BH
Slc49a4,0.1332470203401324,0.6155996805739075,1.0,-0.4940667683690628,28.85695469401516,29.02805481036536,0.0,0.4957404875500314,0.6930692536356945
Kpna1,0.0191546447804258,0.0980347968077632,0.8040040579628547,0.0,26.560153769906652,28.49930543571861,0.0,0.0989470867575796,0.19714453656297995
Cd86,0.1205905205905206,0.6125874125874127,1.0,-0.1133523451996343,-0.0320078758430147,0.0607192420179102,1.402818109276395,1.3720945360213563,0.6930692536356945
Hcls1,0.0006216006216006,0.0139860139860139,0.1830025939015227,0.1193468700576619,0.2684032265572716,0.4086620647568856,0.783919350825295,0.9327912615569972,0.07844143623960088
Ndufb4,0.0060656947207601,0.1116117682982922,0.4843557021101186,0.0600687210975154,29.2297102738536,29.38591375555756,0.0,0.6414973257069584,0.22010320759039556
Lrrc58,0.0901559774973563,0.6155996805739075,1.0,0.0,27.00889083715288,28.717827936533467,0.0,0.1350474189782555,0.6930692536356945
Cox17,0.0037296037296037,0.0721056721056721,0.3356643356643357,-0.4640307206610796,-0.3037539332652446,-0.1303613740727217,1.0369725105775,0.8353734651871695,0.16386840476059808
Atp6v1a,0.384993546056126,0.778865578865579,1.0,-0.2354828390937831,0.0256947745150048,0.3832995368872156,0.778723456305584,0.7939183143961248,0.78615270866234
Naa50,0.0143763260422726,0.1795057822533168,0.8577144806607083,26.46077366223989,28.46896658744001,28.958523777129752,0.0,0.372019344524848,0.3045454252105301
Cd47,0.0003108003108003,0.0093240093240093,0.2318570318570318,0.075514194003514,0.1515772146765124,0.229938101764221,1.30346795599205,1.4507119347866926,0.06173369350264641
Nfkbiz,0.0038849847804668,0.0307467786153291,0.1816653005134988,0.2802120822518713,29.64409772994928,29.84569796716281,0.0,0.8859541886406365,0.10579660784336505
Rpl24,0.3356643356643357,0.6943278943278944,1.0,0.0223548674989099,0.0537438459506421,0.0919405138122122,2.7303237554359,2.831152610912272,0.7369197674753232
Pcnp,0.0074408008082341,0.1704181223248704,0.5039104645747324,0.0,28.293755924199036,28.901878832375168,0.0,0.3290555512533955,0.29155488464907864
Cggbp1,0.2820588757615588,0.768278203545834,1.0,-0.4654884747738809,0.1710391126855753,29.25544522703725,0.546666222544187,0.5995509378685155,0.78615270866234
Nrip1,0.0007946359005854,0.0071609681938079,0.0327788695088586,29.136415786007912,29.30311439548914,29.477110780091994,0.0,0.6623940134905827,0.054368241762156724
Atp5j,0.0139860139860139,0.0938616938616938,0.4634032634032634,0.0572257314825641,0.1762751465631273,0.283067823244931,1.15365339771401,1.292123611751045,0.1940725440161741
App,0.0093240093240093,0.151981351981352,0.8665112665112666,-0.0078377441525785,0.0893551925822013,0.1545833959369814,1.42325256811428,1.5136097984778925,0.2674988479211128
Cct8,0.0049728499972615,0.0441363158740108,0.4436570559117131,0.3941368215697301,29.20870277760609,29.32951213438958,0.0,0.6219196952444501,0.11678847834386902
Bach1,0.0289044289044289,0.0938616938616938,0.2318570318570318,-0.6517474500039608,-0.47541765960007,-0.2925495181302794,1.288783679577345,0.921474638193083,0.1940725440161741
Sod1,0.1116117682982922,0.7199178531944465,1.0,-0.5089779296198915,0.1379516188235172,29.12691708238788,0.512564987330013,0.5466737033482651,0.7627552528934806
Synj1,0.0041476751667831,0.1202328005368122,0.6155996805739075,27.912571078435384,29.019339233532527,29.206363615395656,0.0,0.5441955336124129,0.22475916134452723
Ifnar2,0.2318570318570318,0.6125874125874127,1.0,-0.0313470309866774,0.0786628146616126,0.1894204109217313,1.09868504558878,1.157141988026325,0.6930692536356945
Il10rb,0.0289044289044289,0.3235367862420667,0.9536916548852497,-0.4829471698465397,-0.2933739222279721,0.0124408028184773,0.7319345328284985,0.5838563212444206,0.4614670920076699
Ifnar1,0.0059052059052059,0.0721056721056721,0.5358197358197359,-0.0029045297210543,0.1709537418921367,0.2815123826544947,1.17252908669348,1.3344434813439388,0.16386840476059808
Ifngr2,0.0289044289044289,0.3356643356643357,1.0,-0.5494472241945233,-0.3637479118945141,0.0585027910602663,0.7979304299734885,0.610778251227562,0.4635605358496925
Tmem50b,0.0191546447804258,0.3013890417146279,0.948001871311128,0.0,26.57217975593698,28.38063955865741,0.0,0.099775325290795,0.4363723121348845
Son,0.280963480963481,0.778865578865579,1.0,-0.0561144426367435,0.0138128945235734,0.0837653878457991,1.58116959782651,1.5897154493344674,0.78615270866234
Atp5o,0.0205128205128205,0.280963480963481,0.8665112665112666,0.0092733598556195,0.1509613119602539,0.3674542540944466,0.787915042661716,0.8818080059659354,0.41859222102926413
Runx1,0.0059052059052059,0.054079254079254,0.2318570318570318,-0.5062974110944891,-0.2768704297478462,-0.1457877687397283,1.16458276466842,0.9526570827353266,0.13366759027136366
Ets2,0.0938616938616938,0.4634032634032634,0.9550893550893552,-0.2600634615590035,-0.0885486163305468,0.0628522742103747,0.9901598555135516,0.9419305679523492,0.5809170096251435
Hmgn1,0.0191546447804258,0.1704181223248704,0.6791609486900994,0.0,28.324840126892543,29.056659629923764,0.0,0.3362222880599838,0.29155488464907864
Gtf2h5,0.0025903828378144,0.0449578329938776,0.5568598338696402,0.0,28.157293912559837,28.915046196641136,0.0,0.299357444631443,0.11678847834386902
Ezr,0.1202328005368122,0.5593049468922574,1.0,-0.3836404894657318,0.9021449002041138,29.20600948159512,0.307021887488191,0.5698589494872615,0.6682509919220847
Rnaset2a,0.0191546447804258,0.113048723731741,0.3013890417146279,28.057244451208444,28.4966369466466,29.26792884854743,0.0,0.378741151586892,0.2226974858474898
Mpc1,0.00340809957091,0.019769406440668,0.0518299272179096,29.376789443771965,29.51937745496439,29.604803820693984,0.0,0.7702025726767933,0.07987370025586579
Qk,0.1892773892773893,0.6125874125874127,1.0,-0.3129311290704393,-0.1515490130665652,0.0078180755479669,0.9325850562798,0.8380155016115067,0.6930692536356945
Tcp1,0.019769406440668,0.3602408127769453,1.0,-0.0336000845240034,28.93333624457754,29.043357405715096,0.0,0.5134157271196033,0.4945221935875132
Sod2,0.1205905205905206,0.6943278943278944,1.0,-0.1033863968825369,0.0526172557916155,0.2425580714416065,0.977613507595475,1.0026325270884322,0.7369197674753232
Psmb1,0.0012276612276612,0.0139860139860139,0.2318570318570318,0.16629967209079,0.3468830940796068,0.520505416289857,0.8013571328149505,1.014011663322377,0.07844143623960088
Chd1,0.0191546447804258,0.0980347968077632,0.5625488430004827,0.0,27.566299073338808,28.7953685467838,0.0,0.1987389030293385,0.19714453656297995
Lnpep,0.0073195403589736,0.0901559774973563,0.6155996805739075,27.56782972324065,28.837268892064145,29.10019011622052,0.0,0.4796041655327779,0.1940725440161741
Srrm2,0.2318570318570318,0.6943278943278944,1.0,-0.0688445555582868,-0.0073442837359023,0.0596734727807165,1.57377407130673,1.5657903735819474,0.7369197674753232
Elob,0.280963480963481,0.778865578865579,1.0,-0.0816675102342805,-0.0033378403747744,0.0731455680843812,1.31800966172393,1.31423019982698,0.78615270866234
Atp6v0c,0.0139860139860139,0.0938616938616938,0.3968919968919969,0.0384495637048851,0.0755813739636231,0.1140781110706005,2.28425228445576,2.4075223297024757,0.1940725440161741
Rps2,0.3968919968919969,0.6943278943278944,1.0,-0.0987791286600399,-0.045990811404714,0.022682412257486,2.24765092549364,2.175088447726485,0.7369197674753232
Ndufb10,0.0540064437120849,0.3843539498209787,1.0,-0.1405429082435014,29.052254976258496,29.276509138265432,0.0,0.6143377157107961,0.5199397374572423
Msrb1,0.0156942952060345,0.0677460138406892,0.2932707266977624,0.1980608907709228,0.5917193774794398,29.77147876192632,0.563902796892991,0.8455074081533184,0.16369721921452438
Ube2i,0.0938616938616938,0.4634032634032634,0.9550893550893552,0.0371344913011611,0.2052666165314404,0.3412879616923941,0.739260940551026,0.8463821761138048,0.5809170096251435
