Variable 1,Variable 2,Edge Name,Measurable 1,Measurable 2,Cell Type 1,Cell Type 2,Edge Type,Percent Inclusion,Median Combined p-Value,Median Corrected p-Value,metapy_comb_pval,metapy_fdr_adj_pvals,Min,99.99% Confidence Interval Lower Bound,99.74% Confidence Interval Lower Bound,95.45% Confidence Interval Lower Bound,68.27% Confidence Interval Lower Bound,Median,68.27% Confidence Interval Upper Bound,95.45% Confidence Interval Upper Bound,99.74% Confidence Interval Upper Bound,99.99% Confidence Interval Upper Bound,Max,Percentile of 0
Ifitm3_M2,Sik1_B3,Ifitm3_M2<==>Sik1_B3,Ifitm3,Sik1,M2,B3,B3<==>M2,0.0,0.0630237553747233,0.4205474743550739,0.0046862415919141,0.0099107489439416,-0.7238095238095236,-0.7237438095238093,-0.7221009523809521,-0.6939095238095236,-0.5723447619047618,-0.5452380952380951,-0.4389953968253968,-0.3099527777777778,-0.2796163492063494,-0.2778484920634922,-0.2777777777777778,1.0
Ifitm3_M3,Man1a_M5,Ifitm3_M3<==>Man1a_M5,Ifitm3,Man1a,M3,M5,M3<==>M5,1.0,0.0,0.0,0.0011329227273124,0.0056825676777776,-0.8571428571428571,-0.8571057142857142,-0.8561771428571427,-0.8402428571428571,-0.7678119047619048,-0.6515873015873015,-0.5587141269841269,-0.5454194444444443,-0.5445001587301587,-0.5444465873015872,-0.5444444444444444,1.0
Ifitm3_M3,Pafah1b1_B1,Ifitm3_M3<==>Pafah1b1_B1,Ifitm3,Pafah1b1,M3,B1,B1<==>M3,0.4,0.0,0.0,0.0031656711662982,0.0087063249438077,-0.7507936507936508,-0.7507707936507937,-0.750199365079365,-0.7403936507936507,-0.6741931746031745,-0.5126984126984127,-0.2317460317460318,-0.1219257936507937,-0.095266507936508,-0.0937129365079365,-0.0936507936507936,1.0
Ifitm3_M3,Lnpep_B1,Ifitm3_M3<==>Lnpep_B1,Ifitm3,Lnpep,M3,B1,B1<==>M3,0.9,0.0805808563688458,0.6122389266075847,0.0041441508232889,0.0094406292989719,0.292063492063492,0.2921820634920634,0.2951463492063492,0.3460134920634919,0.5603094444444443,0.6452380952380952,0.7535181746031745,0.8401297619047617,0.860660476190476,0.8618569047619046,0.8619047619047618,0.0
Ifitm3_M3,Hsp90ab1_T5,Ifitm3_M3<==>Hsp90ab1_T5,Ifitm3,Hsp90ab1,M3,T5,M3<==>T5,0.9,0.0107272615209877,0.0612512012042697,0.0161222363578736,0.0192318452589098,0.2444444444444443,0.2446144444444443,0.2488644444444444,0.3217944444444444,0.6392003968253968,0.7190476190476189,0.7895920634920633,0.8372567460317459,0.8455303174603174,0.8460124603174602,0.846031746031746,0.0
Ifitm3_M3,Il2rg_M1,Ifitm3_M3<==>Il2rg_M1,Ifitm3,Il2rg,M3,M1,M1<==>M3,0.5,0.5484123926622445,0.9658017456629178,0.0180004256169846,0.0209848303863802,-0.2809523809523808,-0.2807659523809523,-0.2761052380952379,-0.1961273809523809,0.1340124603174603,0.3547619047619047,0.5269841269841269,0.7365261904761902,0.7873933333333328,0.7903576190476187,0.7904761904761903,0.1
Ifitm3_M5,mt-Nd1_M1,Ifitm3_M5<==>mt-Nd1_M1,Ifitm3,mt-Nd1,M5,M1,M1<==>M5,0.1,0.323277240225025,0.9319298072947176,0.0116564327200299,0.0148415033980868,-0.6063492063492063,-0.6063149206349205,-0.6054577777777778,-0.5907492063492064,-0.4771868253968254,-0.261111111111111,-0.1668556349206349,0.1673440476190473,0.2430319047619042,0.2474426190476187,0.2476190476190475,0.9
Ifitm3_O7,Ifi27l2a_T2,Ifitm3_O7<==>Ifi27l2a_T2,Ifitm3,Ifi27l2a,O7,T2,O7<==>T2,0.5,0.4103414931464768,0.9166022458609296,0.0303907961041183,0.0329756754811393,-0.4888888888888889,-0.4886988888888889,-0.4839488888888887,-0.4024388888888889,-0.0109782539682539,0.4253968253968253,0.5716816666666666,0.6516789682539681,0.6673068253968252,0.6682175396825395,0.6682539682539681,0.2
Ifitm3_O7,H2-D1_O7,Ifitm3_O7<==>H2-D1_O7,Ifitm3,H2-D1,O7,O7,O7<==>O7,0.9,0.0217198322382436,0.1035894468950678,0.0015648931905298,0.0066106756776496,0.4857142857142857,0.4857442857142857,0.4864942857142857,0.4993642857142857,0.5673217460317459,0.7166666666666666,0.836065873015873,0.8643162698412697,0.8695255555555554,0.8698291269841268,0.8698412698412697,0.0
Rnh1_M1,Ighv1-78_B3,Rnh1_M1<==>Ighv1-78_B3,Rnh1,Ighv1-78,M1,B3,B3<==>M1,0.0,0.4518532334064206,1.0,0.0059093004503907,0.0108779854387587,-0.6982460213576492,-0.6982419297722073,-0.6981396401361591,-0.6963843499815734,-0.6658124781801156,-0.430305261510667,-0.2931115224366345,-0.2651241665979058,-0.258594619852918,-0.2582141101358441,-0.2581988897471611,1.0
