gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_IL10_KOnonTLS_median,median_IL10_KOTLS_median,FDR_BH
Nhp2,0.0454381479500468,0.4337246454262298,0.976920040808018,-0.1013783826399165,0.1355381567562428,0.5741418565257875,0.5048074654550775,0.5588186906414375,0.6363237837040043
Ube2b,0.0042647649140305,0.0404041195882236,0.2150460649219759,0.0801041583144527,0.1640596063112251,0.2578905298657609,0.8713833491373842,0.9759324825142366,0.16923792726746886
Ppp2ca,0.0016445870059056,0.0165749267498532,0.0998774027692641,0.0663536271673875,0.1149348117800953,0.1691485206893022,1.451410602374393,1.57155807977983,0.10413936535469781
Skp1a,0.0062314556284533,0.1301425667034285,0.7772300644731787,0.1805558491158377,28.80657595745388,28.95271155543892,0.0,0.4765520207680275,0.337327479171026
Vdac1,0.0232366233481734,0.3063587664885105,0.9544300234442366,-0.0561190496506084,0.1358070377759757,1.4047400202751084,0.5033886192615228,0.5529440536591975,0.5279176481096417
Hspa4,0.0060989459312143,0.0463865932813986,0.3123214216762161,0.0494335284553247,0.1709976752854975,0.3015183818340556,0.7854333435716405,0.8857370369979605,0.18520361504716043
Aff4,0.0530979572855834,0.4357306600317365,0.9769702553219756,-0.0627100491386284,0.0398725683514924,0.1465548523870067,0.7466538583099799,0.7646355183441554,0.6363237837040043
Uqcrq,0.0606019697120061,0.3123214216762161,0.9309874465595672,-0.011881342704106,0.0395536013135888,0.0888116088199497,1.33272024432973,1.3695314683124724,0.5279176481096417
Irf1,0.0154028746151115,0.063395913063988,0.2172709336870004,-29.27283521517877,-29.090291371519527,-28.17972338524355,0.571544825961364,0.0,0.22486821679808436
Cdc42se2,0.0655913536575922,0.533495368853226,1.0,-2.318586854419552,-0.1297779564548653,1.0170580920600274,0.4802624145044892,0.440126389483638,0.7133581296956868
Hint1,0.1934539136476827,0.6650055421020291,1.0,-0.0484934368889838,0.0118698366202047,0.0648233514984852,1.6940427013272177,1.709365661306115,0.7589562419887909
Gm2a,0.0120228254076174,0.0998774027692641,0.4357306600317365,-0.0860748720822864,-0.0472282847046353,-0.0071986854160252,2.2303016782858887,2.1573091722660878,0.28910941051603056
Atox1,0.0101931049911082,0.078252228526237,0.4025038237820035,0.0028428081078299,0.037092248635933,0.0662060242320856,2.845142081267675,2.9185195645032174,0.2547125751827915
G3bp1,0.0086155581188204,0.0998774027692641,0.5443701458566098,0.0109059274801529,0.1103676036422413,0.2077073357463803,0.9987628763702074,1.0758753586172451,0.28910941051603056
Larp1,0.0905208596874355,0.566632920310349,1.0,-27.67840026203862,1.1868123315764565,28.76665067700546,0.0,0.1993652069282335,0.7401385687534856
Arf1,0.2360318361834172,0.7508318840891169,1.0,-0.0643141142452175,-0.0033973948723667,0.0600203955280153,1.1487593173909387,1.14540548138557,0.7703154962711762
Nlrp3,0.0047562514622894,0.0687435709691041,0.4124404694624631,-29.19527712211903,-29.048911611743748,-1.411459063950964,0.557306259096241,0.0,0.2363449986101618
Map2k3,0.0109168257616513,0.0937348371118185,0.4084759258245757,-28.917810440983292,-27.746932781438183,0.0,0.225247019454936,0.0,0.28295003902841304
Ncor1,0.0016520394562341,0.0303828219765775,0.2854763088518824,0.083147658238889,0.2028324160535091,0.3337760498798046,0.68685434320813,0.7890495847754659,0.14720641800370235
Ubb,0.1260200633546496,0.3708443333042212,0.8398599725400034,-0.0167184802557233,0.0188182764723567,0.0620433945970625,2.33505306401893,2.3612078015523847,0.5808103036581087
2410006H16Rik,0.00090093559636,0.0101931049911082,0.078252228526237,0.137669721876241,0.2717966129417486,0.4093404275621328,0.6759221162337182,0.8147927450422725,0.08303026728937886
Pik3r5,0.0060989459312143,0.0463865932813986,0.2854763088518824,0.0435268497203696,0.1786508103554171,0.310053728133153,0.7233410062746317,0.817904349801574,0.18520361504716043
Ndel1,0.155041011005453,0.6201210506231964,1.0,-0.2387297167741388,-0.058250155335385,0.1117494194076865,0.5672349673646399,0.5461641969249462,0.7589562419887909
Rpl26,0.2854763088518824,0.7508318840891169,1.0,-0.0129624754655069,-0.0028444209998775,0.0086071198318084,3.633538883711085,3.625956149822162,0.7703154962711762
