"Ligand","Receptor","From","To","LR_score","TF","TF_activity","Combined_score"
"Inhba","Acvr2a","M5","M3",0.418885195623026,"Stat3",1.62049763535197,0.678802468991062
"Ccl4","Ccr5","M5","M3",0.391771340742586,"Stat4",1.72979620592574,0.677684578806966
"Osm","Il6st","M5","M0",0.406659640249423,"Stat1",1.65929941679335,0.67477010389926
"Il1b","Il1r1","M0","T4",0.375912786338735,"Rbpj",1.79473944373661,0.674665505047063
"Osm","Il6st","M5","M0",0.406659640249423,"Hif1a",1.65325011448104,0.672310096797177
"Ccl2","Ccr1","M5","M3",0.427166307323673,"Foxo1",1.5660531765895,0.668965152516243
"Tnf","Tnfrsf1a","M0","M3",0.38476428368985,"Stat4",1.72979620592574,0.665563798102437
"Il1b","Il1r1","M3","T4",0.370607551746081,"Rbpj",1.79473944373661,0.66514399126535
"Ccl2","Ccr1","M5","M3",0.427166307323673,"Relb",1.55684305291437,0.665030897995946
"Ccl3","Ccr5","M5","M3",0.384401186227811,"Stat4",1.72979620592574,0.664935713490221
"Ccl7","Ccr2","M5","M3",0.384137044066952,"Stat4",1.72979620592574,0.664478801382542
"Il1b","Il1r1","M5","T4",0.368386289853848,"Rbpj",1.79473944373661,0.661157404932491
"Ccl7","Ccr5","M5","M3",0.39600257417802,"Stat5a",1.66539579265451,0.659501020916432
"Osm","Il6st","M5","M0",0.406659640249423,"Egr1",1.62161727769935,0.659446298771464
"Osm","Il6st","M5","M0",0.406659640249423,"Jund",1.61640462823066,0.657326524613784
"Inhba","Acvr2a","M5","M3",0.418885195623026,"Foxo1",1.5660531765895,0.655996491231752
"Ccl4","Ccr5","M5","M3",0.391771340742586,"Stat5a",1.66539579265451,0.65245434255532
"Inhba","Acvr2a","M5","M3",0.418885195623026,"Relb",1.55684305291437,0.652138506774385
"Fasl","Fas","M5","T4",0.388077346184219,"Nfkb1",1.65906288136941,0.643844720154582
"Ccl7","Ccr5","M5","M3",0.39600257417802,"Stat3",1.62049763535197,0.641721235048776
"Tnf","Tnfrsf1a","M0","M3",0.38476428368985,"Stat5a",1.66539579265451,0.640784819220803
"Ccl3","Ccr5","M5","M3",0.384401186227811,"Stat5a",1.66539579265451,0.6401801182352
"Ccl7","Ccr2","M5","M3",0.384137044066952,"Stat5a",1.66539579265451,0.639740216991842
"Ifng","Ifngr1","M5","M5",0.517323383862765,"Jund",1.22893914885401,0.635758959046585
"Ccl4","Ccr5","M5","M3",0.391771340742586,"Stat3",1.62049763535197,0.634864531272033
"Tnf","Tnfrsf1a","M0","T4",0.353063052474376,"Rbpj",1.79473944373661,0.633656186401812
"Ifng","Ifngr2","M5","M5",0.51188752548219,"Jund",1.22893914885401,0.62907861987507
"Fasl","Fas","M5","T4",0.388077346184219,"Hif1a",1.61243559260554,0.625749725671335
"Il1b","Il1r1","M0","T4",0.375912786338735,"Nfkb1",1.65906288136941,0.623662950446745
"Tnf","Tnfrsf1a","M0","M3",0.38476428368985,"Stat3",1.62049763535197,0.623509611887297
"Ccl3","Ccr5","M5","M3",0.384401186227811,"Stat3",1.62049763535197,0.622921213308661
"Ccl7","Ccr2","M5","M3",0.384137044066952,"Stat3",1.62049763535197,0.622493171561592
"Ccl7","Ccr5","M5","M3",0.39600257417802,"Foxo1",1.5660531765895,0.620161089229106
"Ccl7","Ccr5","M5","M3",0.39600257417802,"Relb",1.55684305291437,0.616513856545259
"Ccl2","Ccr5","M5","M3",0.356245739774062,"Stat4",1.72979620592574,0.616232529038382
"Il1b","Il1r1","M3","T4",0.370607551746081,"Nfkb1",1.65906288136941,0.614861232657115
"Ccl4","Ccr5","M5","M3",0.391771340742586,"Foxo1",1.5660531765895,0.613534752666652
"Ifng","Ifngr1","M5","M5",0.517323383862765,"Lef1",1.1849620516363,0.613008578301454
"Ifng","Ifngr1","M5","M5",0.517323383862765,"Hif1a",1.18181465190299,0.611380354821053
"Il1b","Il1r1","M5","T4",0.368386289853848,"Nfkb1",1.65906288136941,0.611176019501911
"Ccl4","Ccr5","M5","M3",0.391771340742586,"Relb",1.55684305291437,0.609926490166044
"Ifng","Ifngr2","M5","M5",0.51188752548219,"Lef1",1.1849620516363,0.606567292402403
"Il1b","Il1r1","M0","T4",0.375912786338735,"Hif1a",1.61243559260554,0.606135156408098
