gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Control_median,median_IL10_KOnonTLS_median,FDR_BH
B2m,0.0683496070492974,0.384456616654759,0.967135032150512,-0.0029969946438399,0.0292957060959684,0.0905700487659415,3.39269324375799,3.462321160185983,0.7573409605674015
Eif2s2,0.1629806968918196,0.6419036360134158,0.967135032150512,-0.180463294108964,0.0134612038583819,0.9997454564998184,1.351144665940455,1.3685190784228949,0.7696452732676781
Rbm39,0.2268397237437485,0.6503532587123918,1.0,-0.0997568277673464,0.0048148863095419,0.1098719328407742,2.31986610512122,2.329708541068688,0.7696452732676781
Top1,0.1629668384422399,0.6419036360134158,1.0,-0.210261711844185,0.104267026923172,0.3975071219584536,1.2940240606845217,1.390695048207955,0.7696452732676781
Stk4,0.0687166915200418,0.4717437453091039,0.8990759188445385,-0.0898175378207958,0.2569462808275128,30.360065790874224,1.1471093717718102,1.3660782953513988,0.7696452732676781
Pmepa1,0.045768213831848,0.0909871721936758,0.5938978743678346,-29.84454635272928,-28.03606583254358,0.0,0.275230636463849,0.0,0.5455002513826038
Gnas,0.0831150273874732,0.5918075732317218,1.0,-0.1792570614743465,-0.040850000712023,0.0668756289073238,1.71361678606073,1.6687994950258824,0.7696452732676781
Atp5e,0.1422164007303326,0.7108438517107247,1.0,-0.0875223632748551,0.0154601138627206,0.1805320072841035,2.08117158908541,2.0906574827190303,0.7696452732676781
Psma7,0.0390562023728528,0.3157361100126335,1.0,0.0044204200868045,30.0006561347491,30.092325970733043,0.0,1.0830142079523926,0.73086920709229
Rps21,0.0831150273874732,0.6503532587123918,1.0,-0.0599689461468577,-0.0048358402581062,0.0222499176358214,3.73604901830682,3.7296064912894096,0.7696452732676781
Rpl22l1,0.0358418671112169,0.4319679288719536,1.0,-0.036486193129675,0.0339632620720605,0.187041727438993,2.34325298141563,2.385377717462439,0.7696452732676781
Sec62,0.1172817576551966,0.6419036360134158,1.0,-0.229640949247208,0.0846673530547436,0.924101638214741,1.24920297897551,1.3060455593625675,0.7696452732676781
Skil,0.0280161349010852,0.2387856877012992,0.884290561406367,-29.98254845627369,-28.03606583254358,0.0,0.275230636463849,0.0,0.696261237901313
Mbnl1,0.384456616654759,0.8369453044375644,1.0,-0.1071959232323834,0.0325770121478756,0.1391065829008144,2.066121413003385,2.1074865287809588,0.8397969068376925
Ccnl1,0.0048855519346629,0.0610075482034847,0.5681478389042005,-30.271198926537327,-29.932601347886308,-0.8267284674856404,1.0711765899026848,0.0,0.4666681284656167
Pdcd10,0.0814559657624565,0.6231308747161564,1.0,-29.798975506102583,-0.0921236215262735,29.759866121859854,0.549906865271355,0.428336702980991,0.7696452732676781
Rps3a1,0.0170675557672461,0.0283400809716599,0.1002619671350321,0.1564029041319525,0.2069405645477977,0.2394150833516428,3.2186074348854,3.721421995099039,0.34949522199983546
Krtcap2,0.0068433329494243,0.1743948311275974,0.7669824200341356,0.4537647972496272,30.100828881760105,30.200636922352643,0.0,1.1737110035519962,0.6263326556960662
Tpm3,0.0382469991412035,0.4723279998326053,1.0,-0.0306770608391325,0.0832778353230146,0.758630400321304,1.57864340378529,1.6685184086915623,0.7696452732676781
Rps27,0.2268397237437485,0.5918075732317218,1.0,-0.0279944202809019,-0.0144645245794982,0.0051283413726418,4.08045706126325,4.03913213472176,0.7696452732676781
S100a13,0.1894211625722123,0.4199884090390556,0.9662340001638232,-0.2583917104457527,-0.1417512557087197,0.0652903715578775,1.35524163777831,1.2395063314243289,0.7696452732676781
S100a4,0.0198981713239897,0.2201943430476198,0.7035844410913497,0.1983285459438066,0.4339007448108227,31.087375207888854,1.72918676816664,2.2967980885608124,0.679922351798266
S100a6,0.216322183134876,0.7028371518559269,1.0,-0.4208344295551335,-0.1081707116007482,1.0770430488095046,1.683439409326,1.5571652057293024,0.7696452732676781
S100a11,0.2614114471699611,0.5918075732317218,1.0,-0.2828957482438912,-0.0832733418401041,0.1190154367110123,2.26960053364799,2.1373880259234763,0.7696452732676781
S100a10,0.0007541478129713,0.0358418671112169,0.2614114471699611,-0.2542194507968264,-0.1712617895714102,-0.0788139191304858,2.759345878024395,2.4544862536697027,0.37274229898622085
Mcl1,0.1081645685224125,0.3402397396205445,0.6503532587123918,-0.332870298094891,-0.1924046049941962,-0.0922039966454511,1.47459645912824,1.311275150799554,0.7367691420459586
Txnip,0.0011714620071217,0.0165982807543024,0.2042939237011675,-30.459445497333007,-30.163730578086387,-29.129442007992225,1.20278411768455,0.0,0.2645471143923146
Cd2,0.1002619671350321,0.5918075732317218,1.0,-0.2116662096209999,0.0508384532886449,0.5426132112850172,1.3090630131839,1.36565107296975,0.7696452732676781
Csde1,0.0048503627111027,0.2757158488248741,0.9659938147885658,0.2576973577870378,29.87615916169225,30.020938633033676,0.0,1.0071838910393862,0.7104072398190046
Ptpn22,0.340005608358459,0.8325897513232108,1.0,-0.1425424496754142,-0.0516018286402483,0.1332545841794635,1.640901441334095,1.5882540810730377,0.8397969068376925
Rap1a,0.0687166915200418,0.468595074670454,1.0,-0.0947285687419378,0.2360168165403032,30.19555324549265,1.02473330981504,1.2279886080005225,0.7696452732676781
Atp5f1,0.1373982239637429,0.374017623126423,0.9662340001638232,-0.1258493078675966,1.0481716221714046,30.20646648711437,0.587267274752005,1.218598901606036,0.7573409605674015
Cd53,0.1422164007303326,0.195562435500516,0.6503532587123918,0.0424534566037257,0.1380104200882791,0.2518028323270139,1.60338549290705,1.7769430882268962,0.6582072829131653
1810037I17Rik,0.1293317454163906,0.5064704073038739,1.0,-0.6599432214296697,29.672675792535323,29.978871240493977,0.0,0.9438550403882432,0.7696452732676781
Rpl34,0.0221084385171072,0.3402397396205445,0.967135032150512,-0.0110003103532382,0.0244303081876249,0.0424403802538922,3.72511953912908,3.788231205883396,0.7367691420459586
Ube2d3,0.1002619671350321,0.6503532587123918,0.967135032150512,-0.0537571057890211,0.0457320679432378,0.1532319230338512,1.62040753364451,1.6767056461893688,0.7696452732676781
Nfkb1,0.0055855707195521,0.1223021320561038,0.7989813169398774,0.1563197371390086,30.065919159688068,30.14074359309509,0.0,1.129089031527514,0.6002996315087095
H2afz,0.1002619671350321,0.384456616654759,0.967135032150512,-0.1451710391268154,-0.0550532104149211,0.0190296690456981,2.796710652186105,2.7040504225260014,0.7573409605674015
Sh3glb1,0.0221084385171072,0.535841867111217,1.0,-0.2536663906774039,-0.085110246203422,0.2594646900410522,1.34633979900985,1.2773531319094489,0.7696452732676781
Gng5,0.1673414304993252,0.7108438517107247,1.0,-0.0622538672772575,0.0163199065276515,0.0922893870031721,1.88796406644161,1.9069498097937465,0.7696452732676781
Srsf11,0.0003673342536058,0.0095845145215287,0.1526965374369194,30.003983484476635,30.0815995202123,30.145024679894107,0.0,1.136223514132796,0.2500491835530182
Rps20,0.2268397237437485,0.7732396602365642,1.0,-0.0384607971351895,-0.0028670678780871,0.0306702800720466,3.79375134466683,3.78543823238118,0.793446271566788
