gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Control_median,median_Salmonella_infTLSwk6_median,FDR_BH
Actg1,0.0003108003108003,0.0003108003108003,0.0003108003108003,-0.6864810525823739,-0.6019346076038277,-0.5062103448299013,3.152862819309615,2.0814435930696726,0.02201502201502125
Rps7,0.054079254079254,0.3356643356643357,0.8665112665112666,-0.0098042958544155,0.0341018620189573,0.084762988542428,3.778311603904985,3.8722510545565,0.6229578281980029
Rps29,0.0059052059052059,0.054079254079254,0.2318570318570318,0.0595797875057961,0.0824131560533256,0.1102195661001156,4.12142294885792,4.361056470755839,0.24193350509139946
Rpl36al,0.1205905205905206,0.6851773174958848,1.0,-0.0574864276865507,0.0142128934755527,0.1344043372020165,2.266722784107335,2.28419080345032,0.7932509545412773
Psma3,0.2094823757163304,0.768278203545834,1.0,-0.2274135724940631,0.7175042070328277,30.25855964391969,0.77214009355077,1.242953902955725,0.8073606610191977
Hif1a,0.0003108003108003,0.0003108003108003,0.0003108003108003,0.6318802786016271,0.76718418943911,0.9193479819897804,1.6848679270254898,2.844918082845755,0.02201502201502125
Zfp36l1,0.1178837571664433,0.2515086958672204,0.8621758798310992,-0.1076456666508925,0.5053601967775032,0.715595776429669,1.29580270219512,1.85456548424432,0.5625852407556245
Srsf5,0.164537455843051,0.6850438969317681,1.0,-0.3004945712689884,-0.0964960524218759,0.2068984158291419,1.38704483019826,1.28363795379187,0.7932509545412773
Rbm25,0.1816653005134988,0.3235367862420667,0.6441632687487103,0.110232716964452,0.4507265089310354,1.4179838694983096,1.05793131466657,1.445356427867935,0.6229578281980029
Npc2,0.0231509519852463,0.1692825080005217,0.5022642955663339,-30.457673052782607,-1.7275549067109086,-0.3522898015666211,1.4132898654619,0.4182373779323335,0.46416171548530144
Calm1,0.0003108003108003,0.0006216006216006,0.0021861796504952,-0.6206851048546795,-0.5195975056804949,-0.4479488324511021,2.62411754622166,1.8310333586383,0.024016387652750455
Ndufb1-ps,0.2159249389401403,0.6799884022342944,1.0,-0.3167669472990341,1.211673738927731,30.258897784205057,0.4859280714481915,1.18476913950691,0.7932509545412773
Hsp90aa1,0.2316580839481953,0.778865578865579,1.0,-0.1477271142630294,-0.0155972395507247,0.1500621543339185,1.7661230041085498,1.7301931727118949,0.8073606610191977
Eif5,0.0239017976171966,0.2705158273995723,0.9538159449155053,-0.0326997062320608,0.5060959028238694,1.638706649339626,1.0511249465122363,1.5110430322946675,0.5740840356224972
Atp5mpl,0.1407135248526926,0.6799884022342944,1.0,-29.52491073810216,0.1558163706518544,30.093211877772163,0.77214009355077,1.10882114066529,0.7932509545412773
Igha,0.1205905205905206,0.280963480963481,0.6125874125874127,-0.2849125148047944,-0.1559529194001048,-0.0749448372560541,1.72539199730811,1.57577328382673,0.5740840356224972
Klf6,0.01203141909202,0.1989589310924021,0.953011395422729,-30.21535807515152,-0.7180091472479433,0.340968109889702,1.13195789675541,0.6150982420488196,0.49448857142848474
Hnrnpk,0.0003108003108003,0.0235255986784301,0.3968919968919969,0.1501794419999014,0.3417207522988793,1.3236048605806965,1.17453454950401,1.48930689940133,0.1665289178247304
Cox7c,0.0006216006216006,0.0093240093240093,0.0721056721056721,-0.3142010444915874,-0.2180822541590632,-0.1294462861978746,2.083312245161215,1.766481903388395,0.11655011655011624
Rps23,0.0139860139860139,0.1892773892773893,0.6125874125874127,0.0133544044427232,0.0384715654491718,0.0680303957694602,3.99078511131638,4.097210293978602,0.4759934345733163
Nsa2,0.280963480963481,0.778865578865579,1.0,-0.1403464938041083,0.0140303705910904,0.1127119754668302,1.7101839666537648,1.7461821268900075,0.8073606610191977
Btf3,0.071702466570509,0.4634032634032634,1.0,-0.1267508333443318,-0.0324941445225609,0.037238330269691,2.211003056344945,2.165348350641625,0.724067599067599
Gpbp1,0.1114870540402245,0.4502910796846515,0.9536916548852497,-0.0221014973063657,0.2940021169861215,30.214357132335323,1.03938775839069,1.25582610303263,0.724067599067599
Emb,0.0021756021756021,0.054079254079254,0.3356643356643357,-0.5603521005678526,-0.3743358891182932,-0.1611692357006688,2.63692424278744,2.00345902314928,0.24193350509139946
Rpl15,0.0289044289044289,0.280963480963481,0.8665112665112666,-0.0039516796141358,0.0205208703795216,0.0910541297991781,3.08742236747671,3.122153383778312,0.5740840356224972
Rps24,0.0003108003108003,0.0021756021756021,0.0205128205128205,0.0271443734092711,0.0687645627230565,0.1037366462806443,4.43258379343506,4.652484132863,0.038526288526287186
Arf4,0.1692825080005217,0.5168677495508638,1.0,-29.80397674648746,-0.508090465858321,0.9137448167261932,1.16065427211032,0.558609685872555,0.7772129273835758
Selenok,0.0205128205128205,0.0938616938616938,0.6943278943278944,-0.3822742049462757,-0.2513966048096988,-0.0746067105218032,1.74499937916894,1.44406284894383,0.3191297591297589
Trac,0.0003108003108003,0.0003108003108003,0.0006216006216006,0.3903700736770384,0.4896072864598506,0.8030665548270092,1.60656411784832,2.255005001341665,0.02201502201502125
Dad1,0.0489385496433655,0.3222242307009277,0.9070384808036948,-0.4098687913059615,-0.2656331686353627,0.4870778224082561,1.52458668064213,1.2638806677444,0.6229578281980029
