gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infNonTLSwk6_median,median_Salmonella_infTLSwk6_median,FDR_BH
Rps29,0.4418026418026417,0.7209013209013208,1.0,-0.0075806552299798,0.0189682244914312,0.0438685738414517,4.305412547696342,4.361994904289225,0.7648023628792858
Rpl36al,0.1048951048951048,0.6453768453768453,1.0,-0.080212968611338,-0.0136279836250713,0.0578177188228917,2.3015542899468127,2.2844196314289498,0.7648023628792858
Psma3,0.0129047127025767,0.1388637976716842,0.6217687412649331,0.8046838459989771,29.73858683394251,30.270702997128705,0.0,1.240986344103785,0.47879080238882776
Hif1a,0.0001554001554001,0.0006216006216006,0.0029526029526029,0.2586348593161993,0.3409795283707603,0.4353438590423837,2.25195350628755,2.846219940687205,0.0685832685832662
Zfp36l1,0.0104118104118104,0.1303807303807303,0.792746526993248,0.0930333837181258,0.3020397918251647,0.5881308010250795,1.502205047598625,1.85580278936919,0.4568862784195202
Srsf5,0.0053510343901815,0.0658827641887259,0.4418026418026417,-0.4345746329843077,-0.2598760323731596,-0.092387472817302,1.5347187307516577,1.2799439172739602,0.3517289507494883
Rbm25,0.1948717948717948,0.7209013209013208,1.0,-0.0565524466202543,0.0478545534608118,0.1600680124758722,1.3949585278724586,1.4441347068658223,0.7648023628792858
Npc2,0.0051768064678809,0.0591504362583107,0.418794818806423,-30.28899339003513,-1.5298762593268758,-0.2268343975085436,1.223346398251465,0.421941958407683,0.33756542071553175
Tmed10,0.1296310391760937,0.6945980769823016,1.0,-29.39739004056514,0.0,28.995625118757506,0.136727855960656,0.0,0.7648023628792858
Batf,0.0007853381460163,0.0050527393002986,0.0404794561132101,1.6493404365661144,30.431639497754464,30.528066938828463,0.0,1.46896702253509,0.11946119345705974
Calm1,0.0006216006216006,0.0046620046620046,0.0649572649572649,-0.3897198905309252,-0.2952528895332105,-0.2064988408077427,2.249074663147555,1.832477310424615,0.11946119345705974
Ndufb1-ps,0.3684845482829788,0.7913911161280311,1.0,-0.2825641034653942,0.0043062535696823,0.3231538739316385,1.1681482844814275,1.1826215929634,0.8032997735125392
Ddx24,0.0013096882046183,0.0104118104118104,0.0828964098822239,0.2756710683442488,0.4657174632959645,1.124165132296338,1.201643443596895,1.6548553515587274,0.15316929983596633
Ifi27l2a,0.0018014358695427,0.0199311992935653,0.1501208222419232,0.421896945178819,1.4856143649572071,30.603457284868927,0.569925475816305,1.56751716009164,0.20121120709355939
Hsp90aa1,0.1605283605283605,0.7209013209013208,1.0,-0.1035418781101872,0.0037146012482279,0.1110439433988945,1.72529667513204,1.72948650807384,0.7648023628792858
Eif5,0.0206682206682206,0.1948717948717948,0.8784770784770783,-0.2363285405077375,-0.0941591725828506,0.0110456580920675,1.6054132106682135,1.51052534431446,0.5352909884030214
Atp5mpl,0.2171619622484127,0.7463178799324552,1.0,-29.17444415247617,0.7313442647238644,30.098664205423464,0.6055054237858,1.108951776457665,0.7842260897068022
Gpr132,0.0035383895982645,0.0287082281575455,0.1480106940237816,-30.32587660444008,-30.13770646451254,-29.136735945228622,1.1812821620969174,0.0,0.24429456734113136
Crip1,0.0014600619162422,0.0045693045692244,0.0324742023051655,-30.435019965529143,-30.126173345440822,-28.922712564708927,1.1718764618869677,0.0,0.11946119345705974
Igha,0.1948717948717948,0.6453768453768453,1.0,-0.2373113844607786,-0.0927289280661405,0.0474995740764107,1.6738182485440598,1.5766699159472202,0.7648023628792858
