gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Control_median,median_IL10_KOTLS_median,FDR_BH
Arf1,0.1629806968918196,0.7032118540606818,1.0,-0.2213155920831167,-0.0798485443289506,0.5630309327814866,1.29580270219512,1.226169178330045,0.7611456512731224
Ncor1,0.0683496070492974,0.5918075732317218,1.0,-0.2016022580727179,0.0260265991725593,0.6454547860782598,1.45666876632877,1.4709137739900462,0.7611456512731224
Ubb,0.0071842502183059,0.195562435500516,0.967135032150512,-0.1203621111812146,-0.0545673059227987,0.0206076049256576,3.06077060041333,2.9512642648082466,0.5020017875571281
2410006H16Rik,0.0424317710862931,0.2697878136817866,0.6509061393555177,-0.4408277850546359,-0.280916207385177,-0.0979946646600284,1.4699371549693,1.2049932618635362,0.5788357942799526
Rpl26,0.0025988330554894,0.0449313328570294,0.3402397396205445,0.0278282608022712,0.0537145179063571,0.1182818283842335,3.44298181977368,3.5755147283061337,0.22946573934848238
Eif4a1,0.195562435500516,0.7672806278121114,1.0,-0.1481598456737182,-0.06260127669992,0.0757640995467016,1.53793562934172,1.4702054484893976,0.7996633176906914
Eif5a,0.0076550160232633,0.1894211625722123,0.966278470916598,0.0179471853145923,0.6889357515209207,30.414821227134784,0.843598968066475,1.40308281820715,0.5020017875571281
Gabarap,0.0006945758087866,0.0216312497181542,0.216322183134876,0.946760149832948,30.11928512024495,30.178293744338514,0.0,1.168456675225681,0.15694261910292148
Pfn1,0.0449313328570294,0.2991188378185282,0.9018020163531,-0.1528256128267955,-0.0363791101902155,0.0085069764658439,2.3034855883273,2.24815893872334,0.5992799015528004
Pafah1b1,0.2268397237437485,0.6503532587123918,1.0,-0.171727211102726,-0.0748234179138714,0.2258295360507891,1.41588345537646,1.3439645774032876,0.7611456512731224
Ywhae,0.124362104645174,0.5731887838440366,1.0,-2.3119410344745104,-0.0371716218702011,29.85387066897396,0.91272783347472,0.9058187633426958,0.7611456512731224
Ssh2,0.0270975086943181,0.0952288276084754,0.3798757697432404,29.98138787842614,30.09222907212082,30.16128925348339,0.0,1.1446259480037524,0.36258258555121675
