gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_IL10_KOnonTLS_median,median_IL10_KOTLS_median,FDR_BH
Sec62,0.2602362026171888,0.7508318840891169,1.0,-0.0552497330320767,0.0110436659371535,0.0755100939363142,1.307080708786886,1.3177917583085486,0.7935107490794456
Mbnl1,0.0101931049911082,0.0463865932813986,0.2144938077835174,0.026667098180828,0.0511042492919593,0.0781793038563408,2.1094369442233,2.1847157872189613,0.1279454386113302
Rps3a1,0.1748533068932927,0.4025038237820035,0.7950121719642381,0.0032346984570686,0.0133108305346482,0.0237633177444681,3.720899544165894,3.755854256054295,0.5475797277467906
Tpm3,0.0016520394562341,0.0141379694559114,0.1123511976904639,-0.1233187081287078,-0.0875026749474554,-0.0530523095473698,1.668181497577395,1.5705348149118863,0.05865504683361589
Rps27,0.0885337720142295,0.1748533068932927,0.3123214216762161,-0.0008217115090999,0.0107916789906071,0.0244088449934187,4.039729977548333,4.069030266234472,0.3090716903536371
S100a4,0.0008218913580357,0.0018544872287672,0.004776975573555,-31.12518742720334,-1.8656778189427123,-0.9020655210929156,2.2964782754848327,0.62442411671716,0.02327381472102836
S100a11,0.0101931049911082,0.0404041195882236,0.126022121770373,-0.208419878897432,-0.1607499151171274,-0.1120005535492565,2.139193644251539,1.91501376709335,0.11394869681622609
S100a10,0.0013539414430926,0.0029456461505329,0.0086155581188204,-0.2903038502653183,-0.2466782887865713,-0.207766871241599,2.4556840452493205,2.0710841049589264,0.03017784423607175
Mcl1,0.3407786135629546,0.7949903805638618,1.0,-0.0870333781142823,-0.0121656961003702,0.0832399673535619,1.3115976173920725,1.2997895384925124,0.8144818578082602
Cd2,0.0013539414430926,0.0060989459312143,0.0263323228736562,0.1150307997828758,0.16991260637593,0.238695078717437,1.365257483600561,1.537070224659311,0.039761959187916605
Csde1,0.0016481779776653,0.0322857250578679,0.311283046447709,0.0801067313462543,0.2139282993305563,0.4474108711237153,1.002656439850142,1.1647843512484073,0.10193354703804834
Ptpn22,0.1939308522824107,0.6650055421020291,1.0,-0.0399050620151265,0.0177612167339223,0.0665828851072429,1.5906234610762149,1.6104763510067,0.7666121262404455
Rap1a,0.002436734808989,0.0120228254076174,0.0606019697120061,0.0836732273356405,0.1524623295520511,0.224510859810836,1.2273799219112074,1.3638674672180835,0.05437349869030572
Atp5f1,0.1408688150289272,0.5829916474976795,1.0,-0.1388041939772024,-0.049279425996808,0.0252802988524666,1.2165531489968286,1.1762424196530523,0.7022708735845492
Cd53,0.0060989459312143,0.0606019697120061,0.3415302565564855,0.0095456516958536,0.0507538361580986,0.0934781651886187,1.7750789191051686,1.83850964943076,0.15135417311157742
Rpl34,0.1409552191443714,0.3708443333042212,0.7950121719642381,0.0011224736054397,0.0089755732434807,0.0164296900038818,3.788549934439265,3.811897792279401,0.5229321778615703
Ube2d3,0.0003080447056277,0.0035498386349135,0.0350891160940478,0.0477002001684629,0.080632340328723,0.1149223374921664,1.677453283335281,1.7741709865195263,0.03300035175419587
Nfkb1,0.1456818754719592,0.523970263932215,0.9769502088750937,-0.2063411908887474,-0.0158062841970951,0.1268677746589704,1.12942926666119,1.1153997869555063,0.660887116819025
H2afz,0.0060989459312143,0.0225760625231335,0.0606019697120061,0.0943024442344313,0.1338399241443831,0.1735903871026413,2.7056852979041466,2.9704096723718387,0.0792530306756155
Sh3glb1,0.1409552191443714,0.5833604667027033,0.9769702553219756,-0.0689612976639734,-0.012535079242608,0.0566712823266609,1.2792259665671135,1.26820641268226,0.7022708735845492
Gng5,0.0007314819918142,0.0051079054249954,0.0282605011618456,0.0519538267709201,0.0821295595047652,0.1138077165466847,1.9056998430750924,2.017321413868713,0.03770836063746605
Srsf11,0.0178682575458474,0.2602362026171888,0.9309874465595672,-0.0090424944806681,0.0708648938844981,0.1477826717271834,1.134696311669701,1.193144969124335,0.4095253094477392
Rps20,0.0193733193315928,0.078252228526237,0.2365840933218761,0.0238158233439846,0.0322704092507529,0.0419503770762504,3.784800297727864,3.8703896052300912,0.18019549871638063
