Edge Name,U_statistic,p_value,infTLSwk3_median,KOTLS_median,note
Ran_B4<==>Rbm25_M0,121.0,7.316971073903596e-05,0.7999999999999998,0.3095238095238095,
Ran_B4<==>Satb1_T5,116.0,0.0002754684565755736,0.6999999999999998,0.3452380952380952,
Ran_B4<==>Selenoh_B4,,,,,insufficient data
Ran_B4<==>Tuba1b_B4,80.0,0.20060227950590226,0.7999999999999998,0.6785714285714286,
Ran_M0<==>Sp140_B5,,,,,insufficient data
Ran_M0<==>Tmem14c_M0,111.0,0.0005651978010261647,0.7999999999999998,0.5833333333333333,
Ran_M0<==>Tspo_M3,121.0,5.39100257511496e-05,0.7999999999999998,0.2857142857142857,
Ran_M0<==>Ube2d2a_M0,73.0,0.42861499632286604,0.5999999999999999,0.5357142857142857,
Rap1a_M4<==>Tut4_B2,103.0,0.005543360770399877,0.6999999999999998,0.4761904761904761,
Rap1a_T1<==>mt-Nd4l_T6,8.0,0.00040547343820878913,-0.7999999999999998,-0.5,
Rap1a_T5<==>Rps8_M3,5.0,0.00018198705484166343,-0.7999999999999998,-0.369047619047619,
Rap1a_T5<==>Samhd1_B2,,,,,insufficient data
Rap1b_M1<==>Rpl28_M1,,,,,insufficient data
Rap1b_T1<==>Sub1_T1,75.0,0.35354770412730163,0.5999999999999999,0.5833333333333333,
Rap1b_T2<==>Rel_M1,121.0,7.110429039363549e-05,0.7999999999999998,0.369047619047619,
Rap1b_T2<==>Rpl18a_M3,,,,,insufficient data
Rap1b_T2<==>Ywhaz_B2,121.0,6.549432446712987e-05,0.7999999999999998,0.3571428571428571,
Rap1b_T2<==>Ywhaz_T1,121.0,6.678261317114188e-05,0.7999999999999998,0.2857142857142857,
Rap2a_M3<==>Rbm39_M3,,,,,insufficient data
Rap2a_M3<==>Rps11_M7,,,,,insufficient data
Rap2a_M3<==>Rps27l_B1,,,,,insufficient data
Rap2a_M3<==>Sat1_B1,0.0,5.2818142526737694e-05,-0.7999999999999998,-0.4166666666666666,
Rap2a_M3<==>Serpinb9_M3,,,,,insufficient data
Rap2a_M3<==>Sf3b6_B1,,,,,insufficient data
Rap2a_M3<==>Sfpq_M1,,,,,insufficient data
Rap2a_M3<==>Stat4_M3,,,,,insufficient data
Rap2a_M3<==>Tes_M3,,,,,insufficient data
Rap2a_M3<==>Tiparp_M1,,,,,insufficient data
Rap2a_M3<==>Tnrc6b_B3,121.0,4.4686695865133594e-05,0.7999999999999998,0.4404761904761904,
Rap2a_M3<==>Tpm4_T3,,,,,insufficient data
Rap2a_M3<==>Ywhaz_M3,98.0,0.014660637004514206,0.6999999999999998,0.5714285714285714,
Rap2a_M3<==>Ywhaz_T3,121.0,3.493796286718787e-05,0.7999999999999998,0.4642857142857143,
Rap2a_M4<==>Rpl17_T0,2.0,0.00012857803255414638,-0.6999999999999998,-0.2976190476190476,
Rap2a_M4<==>Rpl3_T5,2.0,0.00010573505419153111,-0.7999999999999998,-0.5119047619047619,
Rapgef6_T6<==>Ube2i_M0,121.0,5.4185703535224785e-05,0.7999999999999998,0.2857142857142857,
Rbm25_B1<==>Rpl39_M5,37.0,0.12922524148380196,-0.5999999999999999,-0.5476190476190477,
Rbm25_B1<==>Rpl7a_T2,,,,,insufficient data
Rbm25_B1<==>Rplp0_T2,,,,,insufficient data
Rbm25_B1<==>Scand1_M0,,,,,insufficient data
Rbm25_B1<==>Slpi_M0,,,,,insufficient data
Rbm25_B1<==>mt-Nd4l_B2,0.0,7.247620135614743e-05,-0.6999999999999998,-0.4285714285714285,
Rbm25_M0<==>mt-Nd1_M0,103.0,0.005476115899737413,0.5999999999999999,0.4166666666666666,
Rbm39_B3<==>Rhoa_B3,118.0,0.00010595103887517782,0.7999999999999998,0.4523809523809524,
Rbm39_B3<==>Sh3glb1_B3,121.0,6.875141969242821e-05,0.8999999999999999,0.5714285714285714,
