Edge Name,U_statistic,p_value,infTLSwk6_median,KOTLS_median,infTLSwk6_nw_5-25_0.7pb_nw0,infTLSwk6_nw_5-25_0.7pb_nw1,infTLSwk6_nw_5-25_0.7pb_nw10,infTLSwk6_nw_5-25_0.7pb_nw2,infTLSwk6_nw_5-25_0.7pb_nw3,infTLSwk6_nw_5-25_0.7pb_nw4,infTLSwk6_nw_5-25_0.7pb_nw5,infTLSwk6_nw_5-25_0.7pb_nw6,infTLSwk6_nw_5-25_0.7pb_nw7,infTLSwk6_nw_5-25_0.7pb_nw8,infTLSwk6_nw_5-25_0.7pb_nw9,KOTLS_nw_5-25_0.7pb_nw0,KOTLS_nw_5-25_0.7pb_nw1,KOTLS_nw_5-25_0.7pb_nw10,KOTLS_nw_5-25_0.7pb_nw2,KOTLS_nw_5-25_0.7pb_nw3,KOTLS_nw_5-25_0.7pb_nw4,KOTLS_nw_5-25_0.7pb_nw5,KOTLS_nw_5-25_0.7pb_nw6,KOTLS_nw_5-25_0.7pb_nw7,KOTLS_nw_5-25_0.7pb_nw8,KOTLS_nw_5-25_0.7pb_nw9,FDR_BH
Rpl22l1_B0<==>Sppl2a_M0,121.0,6.143886741109653e-05,0.7999999999999998,0.369047619047619,1.0,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999998,1.0,0.7999999999999998,0.8999999999999999,0.8999999999999999,0.7999999999999998,0.7999999999999998,0.369047619047619,0.4761904761904761,0.3333333333333333,0.2023809523809523,0.3571428571428571,0.369047619047619,0.4404761904761904,0.5476190476190477,0.2857142857142857,0.3809523809523809,0.25,0.00023412063543791804
Rpl22l1_B1<==>Tnfsf11_T7,32.0,0.06528376155278845,0.3999999999999999,0.6428571428571429,0.5999999999999999,0.7999999999999998,0.3999999999999999,0.1999999999999999,0.3999999999999999,0.7999999999999998,0.3999999999999999,0.1999999999999999,0.5999999999999999,0.2999999999999999,0.4999999999999999,0.6785714285714286,0.5595238095238095,0.5357142857142857,0.6785714285714286,0.7619047619047619,0.6428571428571429,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.6547619047619048,0.5833333333333333,0.07728816736337953
Rpl22l1_B1<==>Zeb1_T2,28.0,0.03473461875288349,0.6999999999999998,0.7857142857142857,0.7999999999999998,0.7999999999999998,0.4999999999999999,0.3999999999999999,0.6999999999999998,0.7999999999999998,0.6999999999999998,0.5999999999999999,0.7999999999999998,0.4999999999999999,0.4999999999999999,0.8809523809523809,0.7738095238095237,0.7619047619047619,0.8571428571428571,0.7738095238095237,0.7380952380952381,0.7976190476190477,0.8571428571428571,0.7857142857142857,0.7142857142857143,0.8095238095238095,0.042935460846034675
Rpl22l1_B3<==>Txn1_B3,112.0,0.0006589008243123165,0.7999999999999998,0.4285714285714286,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.3999999999999999,0.5999999999999999,0.7999999999999998,0.6999999999999998,0.7999999999999998,0.4999999999999999,0.7999999999999998,0.7999999999999998,0.2857142857142857,0.4404761904761904,0.3452380952380952,0.4404761904761904,0.5357142857142858,0.4285714285714286,0.4047619047619047,0.4523809523809523,0.4523809523809523,0.2976190476190476,0.4047619047619047,0.0012080011912239722
Rpl22l1_T0<==>Serf2_T3,121.0,6.053108093443737e-05,1.0,0.3214285714285714,0.7999999999999998,1.0,1.0,1.0,0.7999999999999998,1.0,0.8999999999999999,0.7999999999999998,1.0,1.0,1.0,0.2857142857142857,0.4642857142857143,0.5476190476190477,0.4642857142857143,0.3214285714285714,0.25,0.3571428571428571,0.2619047619047619,0.2142857142857142,0.4523809523809524,0.2857142857142857,0.00023412063543791804
Rpl22l1_T1<==>Selenow_M0,121.0,6.174378022263762e-05,0.7999999999999998,0.3571428571428571,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.5999999999999999,0.6999999999999998,0.7999999999999998,0.7999999999999998,0.6999999999999998,0.5999999999999999,0.7999999999999998,0.7999999999999998,0.369047619047619,0.4642857142857143,0.2023809523809523,0.1666666666666666,0.4404761904761904,0.4523809523809523,0.3452380952380952,0.2857142857142857,0.4880952380952381,0.238095238095238,0.3571428571428571,0.00023412063543791804
Rpl22l1_T4<==>Rpl32_T4,41.0,0.20996315894681694,0.4999999999999999,0.6904761904761905,0.3999999999999999,0.3999999999999999,0.3999999999999999,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.5999999999999999,0.2999999999999999,0.2999999999999999,0.4999999999999999,0.7999999999999998,0.6904761904761905,0.6785714285714286,0.5833333333333333,0.6904761904761905,0.7619047619047619,0.8333333333333333,0.7023809523809523,0.7261904761904763,0.7261904761904763,0.6071428571428572,0.6666666666666667,0.2323564623000558
Rpl22l1_T4<==>Sp110_M4,105.0,0.0035965204298324303,0.6999999999999998,0.4166666666666666,0.5999999999999999,0.7999999999999998,0.3999999999999999,0.7999999999999998,0.5999999999999999,0.7999999999999998,0.6999999999999998,0.6999999999999998,0.7999999999999998,0.3999999999999999,0.7999999999999998,0.2976190476190476,0.4285714285714286,0.3452380952380952,0.5595238095238095,0.369047619047619,0.4642857142857143,0.4166666666666666,0.4166666666666666,0.5714285714285714,0.4166666666666666,0.4285714285714285,0.005349501101869589
Rpl22l1_T4<==>mt-Nd4_M3,20.0,0.007853337578710914,-0.5999999999999999,-0.4047619047619047,-0.5999999999999999,-0.5999999999999999,-0.5999999999999999,-0.4999999999999999,-0.3999999999999999,-0.3999999999999999,-0.4999999999999999,-0.5999999999999999,-0.5999999999999999,-0.4999999999999999,-0.5999999999999999,-0.4047619047619047,-0.1904761904761904,-0.3928571428571428,-0.5357142857142857,-0.5952380952380952,-0.4642857142857143,-0.369047619047619,-0.4880952380952381,-0.4880952380952381,-0.3452380952380952,-0.4047619047619047,0.010875380288755676
Rpl23_M2<==>Rps16_M2,118.0,0.00016492387548790218,0.6999999999999998,0.2976190476190476,0.4999999999999999,0.7999999999999998,0.7999999999999998,0.5999999999999999,0.3999999999999999,0.7999999999999998,0.7999999999999998,0.5999999999999999,0.6999999999999998,0.7999999999999998,0.6999999999999998,0.3214285714285714,0.1547619047619047,0.2976190476190476,0.2619047619047619,0.2023809523809523,0.5119047619047619,0.4642857142857143,0.3095238095238095,0.238095238095238,0.2976190476190476,0.3571428571428571,0.0003961936634380236
