cell_type_1,cell_type_2,total_strength,edge_count,mean_strength
B7,T4,1.2547619047619047,2,0.6273809523809524
B5,B6_0,1.1999999999999997,2,0.5999999999999999
T4,T6_3,1.1999999999999997,2,0.5999999999999999
M0,T6_2,1.1999999999999997,2,0.5999999999999999
B7,T2,1.177180136454095,2,0.5885900682270475
B4,T0,1.1547619047619047,2,0.5773809523809523
B3,B6_0,1.147412979248359,2,0.5737064896241795
T6_3,T7,1.1378647873726218,2,0.5689323936863109
M4,O7,1.1357142857142857,2,0.5678571428571428
M7,T5,1.130952380952381,2,0.5654761904761905
B0,O10,0.7999999999999998,1,0.7999999999999998
B6_0,T1,0.7999999999999998,1,0.7999999999999998
T6,T6_2,0.7999999999999998,1,0.7999999999999998
O7,T6,0.7023809523809523,1,0.7023809523809523
B5,M2,0.7023809523809523,1,0.7023809523809523
T4,T6_2,0.6999999999999998,1,0.6999999999999998
B2,M7,0.6999999999999998,1,0.6999999999999998
O7,T0,0.6999999999999998,1,0.6999999999999998
O4,T4,0.6999999999999998,1,0.6999999999999998
M2,T6,0.6999999999999998,1,0.6999999999999998
B7,T3,0.6999999999999998,1,0.6999999999999998
B0,T6_3,0.6689323936863109,1,0.6689323936863109
M2,O4,0.6547619047619048,1,0.6547619047619048
M3,O4,0.6547619047619048,1,0.6547619047619048
B6_0,M3,0.6428571428571428,1,0.6428571428571428
B2,B6_0,0.6428571428571428,1,0.6428571428571428
O4,O7,0.6309523809523809,1,0.6309523809523809
M3,T6_2,0.6190476190476191,1,0.6190476190476191
M1,T6_2,0.6071428571428572,1,0.6071428571428572
B1,B6_0,0.5999999999999999,1,0.5999999999999999
B5,B7,0.5999999999999999,1,0.5999999999999999
B6_0,O4,0.5999999999999999,1,0.5999999999999999
B4,M2,0.5999999999999999,1,0.5999999999999999
B7,M1,0.5999999999999999,1,0.5999999999999999
B0,T0,0.5999999999999999,1,0.5999999999999999
T0,T6_2,0.5999999999999999,1,0.5999999999999999
B4,T6_2,0.5999999999999999,1,0.5999999999999999
B2,O10,0.5952380952380952,1,0.5952380952380952
B0,B7,0.5714285714285714,1,0.5714285714285714
O10,O4,0.5595238095238095,1,0.5595238095238095
M2,O10,0.5595238095238095,1,0.5595238095238095
O4,T2,0.5476190476190477,1,0.5476190476190477
B7,T7,0.545544725589981,1,0.545544725589981
M1,T6_3,0.5357142857142858,1,0.5357142857142858
B4,B7,0.5312276694065038,1,0.5312276694065038
M4,O4,0.5238095238095237,1,0.5238095238095237
B3,O4,0.4999999999999999,1,0.4999999999999999
M2,T3,0.4999999999999999,1,0.4999999999999999
B4,T6_3,0.4999999999999999,1,0.4999999999999999
