cell_type_1,cell_type_2,total_strength,edge_count,mean_strength
M5,O7,10.07380952380952,16,0.629613095238095
T0,T1,9.757142857142856,15,0.6504761904761904
B0,B4,9.756588731131721,16,0.6097867956957326
B1,M2,9.747619047619045,15,0.6498412698412697
B5,O10,9.649999999999999,16,0.6031249999999999
T1,T7,9.192303016846006,15,0.6128202011230671
M0,T6,9.05238095238095,14,0.6465986394557822
B4,T3,8.928571428571427,15,0.5952380952380951
T2,T6_2,8.842857142857142,11,0.8038961038961038
O7,T3,8.407142857142855,14,0.6005102040816325
B5,M7,8.208415557501533,13,0.6314165813462718
M7,T2,8.193060930596893,14,0.585218637899778
M1,M7,8.178571428571427,14,0.5841836734693876
M7,T1,8.170549134049402,13,0.6285037795422617
T1,T6_2,8.011904761904761,11,0.7283549783549783
B0,T3,7.987826350922893,13,0.6144481808402225
B2,T0,7.896178839735035,12,0.6580149033112529
B2,T7,7.728571428571428,12,0.644047619047619
T3,T7,7.7198814187564695,12,0.6433234515630392
M7,T4,7.692857142857142,12,0.6410714285714285
B2,T6,7.586874078713434,12,0.6322395065594528
M4,T6,7.166666666666666,12,0.5972222222222222
M5,O10,7.157142857142856,12,0.5964285714285713
M1,M2,7.152380952380951,12,0.5960317460317459
T5,T7,7.054761904761905,11,0.6413419913419913
O10,T5,7.042857142857142,11,0.6402597402597402
T2,T7,6.906358280409103,11,0.6278507527644639
B0,M0,6.8530745307179375,11,0.6230067755198125
B2,O7,6.796187120308252,11,0.6178351927552956
B4,O7,6.692857142857142,11,0.6084415584415583
O7,T4,6.646741246319389,11,0.6042492042108536
T1,T6,6.599999999999999,9,0.7333333333333332
B0,O7,6.564285714285714,11,0.5967532467532467
B3,T6,6.557142857142857,11,0.5961038961038961
M1,T6,6.554761904761904,11,0.5958874458874458
M2,T1,6.314285714285713,10,0.6314285714285713
M5,M7,6.278571428571427,11,0.5707792207792206
T4,T6,6.209523809523809,10,0.6209523809523809
B3,M7,6.126190476190475,10,0.6126190476190475
M0,O10,6.1238095238095225,10,0.6123809523809522
O10,T2,6.095238095238094,10,0.6095238095238094
B4,T0,6.051826826369815,10,0.6051826826369815
M2,M5,5.9952380952380935,10,0.5995238095238093
