"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Siglech",0.467601247640741,-0.00040662306518513,0,0.001,1
"1700112J16Rik",0.467601247640741,0.784391191629817,0,0.001,1
"Sv2b",0.467601247640741,0.786206775401155,0,0.001,1
"Tmc3",0.467601247640741,0.678972265322567,0,0.001,1
"Tenm4",0.467601247640741,0.997742983508576,0,0.001,1
"St5",0.467601247640741,0.6924339302984,0,0.001,1
"Calcb",0.467601247640741,0.832760961222954,0,0.001,1
"Sult1a1",0.467601247640741,0.310291180069948,0,0.001,1
"Lrrc27",0.467601247640741,0.686156760014308,0,0.001,1
"Cfap46",0.467601247640741,0.418530491531561,0,0.001,1
"Phlda2",0.467601247640741,0.644738804199987,0,0.001,1
"Bc1",0.467601247640741,0.305673241251796,0,0.001,1
"Vegfc",0.467601247640741,0.495462601191234,0,0.001,1
"Rnf150",0.467601247640741,0.846495077647072,0,0.001,1
"Gm45767",0.467601247640741,1.04381185599867,0,0.001,1
"Cx3cl1",0.467601247640741,0.738495812588045,0,0.001,1
"Hsd11b2",0.467601247640741,0.840857810135844,0,0.001,1
"Nqo1",0.467601247640741,0.868653729331212,0,0.001,1
"Hsd17b2",0.467601247640741,0.807418095517887,0,0.001,1
"Zfp469",0.467601247640741,0.40211183971968,0,0.001,1
"Acta1",0.467601247640741,0.869263055413672,0,0.001,1
"Pard3",0.467601247640741,0.867739560467143,0,0.001,1
"Pdgfd",0.467601247640741,0.383313506114735,0,0.001,1
"Cep126",0.467601247640741,0.912189916243118,0,0.001,1
"Piwil4",0.467601247640741,0.317815375499269,0,0.001,1
"Icam5",0.467601247640741,0.871944835149232,0,0.001,1
"Tmem45b",0.467601247640741,0.209992619216973,0,0.001,1
"D630033O11Rik",0.467601247640741,0.780219610216855,0,0.001,1
"Trim29",0.467601247640741,0.633207609125945,0,0.001,1
"Arhgap20",0.467601247640741,0.305125590414942,0,0.001,1
"Gm29322",0.467601247640741,0.715406302891923,0,0.001,1
"Cd276",0.467601247640741,0.642229120005613,0,0.001,1
"Uaca",0.467601247640741,0.835017663520022,0,0.001,1
"C2cd4b",0.467601247640741,0.315177730197089,0,0.001,1
"Tpbg",0.467601247640741,0.583749527380668,0,0.001,1
"Gm29562",0.467601247640741,0.881378032725522,0,0.001,1
"Chst2",0.467601247640741,0.599276958142889,0,0.001,1
"Pcolce2",0.467601247640741,0.708929257414397,0,0.001,1
"Gm1123",0.467601247640741,0.790970963335393,0,0.001,1
"Mras",0.467601247640741,0.742767673176312,0,0.001,1
"Kif9",0.467601247640741,0.0540582028733727,0,0.001,1
"Pomgnt2",0.467601247640741,0.924809840511875,0,0.001,1
"Adgrg6",0.467601247640741,0.317752980286047,0,0.001,1
"Lama4",0.467601247640741,0.869584406404869,0,0.001,1
"Gm34006",0.467601247640741,0.898095596593331,0,0.001,1
"Gm48065",0.467601247640741,0.545193261901844,0,0.001,1
"Fabp7",0.467601247640741,0.438836766314825,0,0.001,1
"Pald1",0.467601247640741,0.766701974179457,0,0.001,1
"Bicc1",0.467601247640741,0.926414172869164,0,0.001,1
"Syde1",0.467601247640741,0.962108404548035,0,0.001,1
"Nuak1",0.467601247640741,0.166945582160151,0,0.001,1
"Slc5a8",0.467601247640741,0.858483861706418,0,0.001,1
"Tbc1d30",0.467601247640741,1.05010166681834,0,0.001,1
"Lrig3",0.467601247640741,0.678620206320085,0,0.001,1
"Avil",0.467601247640741,0.57836535992748,0,0.001,1
"Ikzf4",0.467601247640741,0.735183330971608,0,0.001,1
"Gdf11",0.467601247640741,0.787252610415457,0,0.001,1
"Nefh",0.467601247640741,0.48809263834576,0,0.001,1
"A730071L15Rik",0.467601247640741,0.961307187837377,0,0.001,1
"Havcr1",0.467601247640741,0.726953608214474,0,0.001,1
"Zfp2",0.467601247640741,0.753031727003073,0,0.001,1
"Il13",0.467601247640741,0.729869246627933,0,0.001,1
"Csf2",0.467601247640741,-1.74109377564276,0,0.001,1
"Arhgap44",0.467601247640741,0.778529830434877,0,0.001,1
"Nlgn2",0.467601247640741,0.4398194266101,0,0.001,1
"Proca1",0.467601247640741,-0.313772682340023,0,0.001,1
"Tbx2",0.467601247640741,0.783170502072654,0,0.001,1
"Gm11508",0.467601247640741,0.900285873175866,0,0.001,1
"Samd14",0.467601247640741,0.64172180613842,0,0.001,1
"Hoxb3",0.467601247640741,0.614985505856776,0,0.001,1
"Erbb2",0.467601247640741,0.696297268998219,0,0.001,1
"Arl4d",0.467601247640741,0.933074479394081,0,0.001,1
"Etv4",0.467601247640741,0.850941466650545,0,0.001,1
"Mrc2",0.467601247640741,0.1548502231322,0,0.001,1
"Cep112",0.467601247640741,0.301506038060161,0,0.001,1
"Abca8a",0.467601247640741,0.652839327468641,0,0.001,1
"Cd300ld",0.467601247640741,1.03006882345446,0,0.001,1
"Cdr2l",0.467601247640741,0.865806978655948,0,0.001,1
"Gm48236",0.467601247640741,0.720617037277488,0,0.001,1
"9130015A21Rik",0.467601247640741,0.735636221195538,0,0.001,1
"Nrcam",0.467601247640741,0.632929720649644,0,0.001,1
"Rtn1",0.467601247640741,0.22475270334092,0,0.001,1
"Akap5",0.467601247640741,0.701886049288293,0,0.001,1
"Plek2",0.467601247640741,0.729964175556649,0,0.001,1
"Plekhh1",0.467601247640741,0.465280943957467,0,0.001,1
"Galnt16",0.467601247640741,0.758256426101889,0,0.001,1
"Smoc1",0.467601247640741,-0.537165338672514,0,0.001,1
"Gm4787",0.467601247640741,1.0592976238231,0,0.001,1
"Zc2hc1c",0.467601247640741,0.282495829522119,0,0.001,1
"Bdkrb1",0.467601247640741,0.745230989443622,0,0.001,1
"Ccdc85c",0.467601247640741,0.357449580386989,0,0.001,1
"Mirg",0.467601247640741,0.564481186091085,0,0.001,1
"2810029C07Rik",0.467601247640741,0.929288972081832,0,0.001,1
"Aspg",0.467601247640741,-0.0288343547091436,0,0.001,1
"Vipr2",0.467601247640741,0.854744521224729,0,0.001,1
"Actn2",0.467601247640741,0.625257603507681,0,0.001,1
"Hist1h2an",0.467601247640741,0.927419593493095,0,0.001,1
"9330162012Rik",0.467601247640741,0.998928573946852,0,0.001,1
"Sox4",0.467601247640741,0.857258274503971,0,0.001,1
"Nrn1",0.467601247640741,0.41274163175858,0,0.001,1
"Ror2",0.467601247640741,1.08636607038088,0,0.001,1
"Fgfr4",0.467601247640741,-0.213943211788438,0,0.001,1
"Mxd3",0.467601247640741,0.703133068537541,0,0.001,1
"B430218F22Rik",0.467601247640741,0.889320267912753,0,0.001,1
"Gm3636",0.467601247640741,1.02155868162345,0,0.001,1
"Frmpd2",0.467601247640741,0.953954803379197,0,0.001,1
"Ldb3",0.467601247640741,0.882940271658169,0,0.001,1
"2610528A11Rik",0.467601247640741,0.699422554208002,0,0.001,1
"Samd4",0.467601247640741,0.639427119421789,0,0.001,1
"Klhl33",0.467601247640741,0.238677984351545,0,0.001,1
"Atp12a",0.467601247640741,0.855902560579052,0,0.001,1
"Rnf17",0.467601247640741,0.87697248135008,0,0.001,1
"Fgf9",0.467601247640741,0.611296991348604,0,0.001,1
"Scara3",0.467601247640741,0.99013369449516,0,0.001,1
"Gfra2",0.467601247640741,0.676625038081914,0,0.001,1
"Tnfsf11",0.467601247640741,0.664481476060187,0,0.001,1
"B930095G15Rik",0.467601247640741,0.672121511040499,0,0.001,1
"Fzd6",0.467601247640741,0.596086430222416,0,0.001,1
"Ccn3",0.467601247640741,0.627097800119779,0,0.001,1
"Has2",0.467601247640741,0.58093599372955,0,0.001,1
"Gsdmc2",0.467601247640741,0.863324938775104,0,0.001,1
"Fam83f",0.467601247640741,0.667305256713567,0,0.001,1
"Scube1",0.467601247640741,0.525611033760331,0,0.001,1
"Tafa5",0.467601247640741,0.494994123981414,0,0.001,1
"Kif21a",0.467601247640741,0.532467091136198,0,0.001,1
"Adcy6",0.467601247640741,0.737399695802791,0,0.001,1
"I730030J21Rik",0.467601247640741,0.435131154155636,0,0.001,1
"Krt7",0.467601247640741,0.658650041980058,0,0.001,1
"Gm41409",0.467601247640741,0.394185815489474,0,0.001,1
"Myh11",0.467601247640741,0.412430687671739,0,0.001,1
"Olfr166",0.467601247640741,0.753655570870883,0,0.001,1
"B630019A10Rik",0.467601247640741,0.678769171622971,0,0.001,1
"P3h2",0.467601247640741,0.42315615238952,0,0.001,1
"Cldn1",0.467601247640741,0.841776539274115,0,0.001,1
"Gm49767",0.467601247640741,0.640268681150612,0,0.001,1
"Apod",0.467601247640741,0.701368894702423,0,0.001,1
"Cd200r4",0.467601247640741,0.843427382709448,0,0.001,1
"BC016579",0.467601247640741,0.547711885566454,0,0.001,1
"Tmem45a",0.467601247640741,0.438849010737767,0,0.001,1
"Robo2",0.467601247640741,0.646014064035917,0,0.001,1
"Tmprss2",0.467601247640741,0.125554186149541,0,0.001,1
"Vmn2r96",0.467601247640741,0.371978768972667,0,0.001,1
"Bicdl2",0.467601247640741,0.977140126045519,0,0.001,1
"Tpsg1",0.467601247640741,0.876383120237351,0,0.001,1
"Rgs11",0.467601247640741,0.202157507800122,0,0.001,1
"C230013L11Rik",0.467601247640741,1.00958726905492,0,0.001,1
"Gm50105",0.467601247640741,0.871871928259731,0,0.001,1
"Trim15",0.467601247640741,0.944317122175844,0,0.001,1
"Rnf39",0.467601247640741,0.987403290370434,0,0.001,1
"Crisp1",0.467601247640741,0.607795890162013,0,0.001,1
"AI661453",0.467601247640741,0.601322136254691,0,0.001,1
"Frs3",0.467601247640741,0.996251588003616,0,0.001,1
"Ptprm",0.467601247640741,0.916178438503866,0,0.001,1
"Ltbp1",0.467601247640741,0.538733886354457,0,0.001,1
"Gm32282",0.467601247640741,0.657453306483635,0,0.001,1
"1810073O08Rik",0.467601247640741,0.646308231391862,0,0.001,1
"Ttr",0.467601247640741,0.545095918149238,0,0.001,1
"Klhl14",0.467601247640741,0.314830446843757,0,0.001,1
