gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infTLSwk3_median,median_IL10_KOTLS_median
Rfwd3,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mlkl,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Wdr59,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Znrf1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ldhd,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Zfp1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Bcar1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cfdp1,0.0001720247930818143,0.002778685068188869,0.029867793297539916,-28.87722517048258,-28.24219577533698,0.0,0.3175034232223915,0.0
Tmem170,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tmem231,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gabarapl2,0.00018083879811240126,0.0003005389112932323,0.0016416423005410031,-29.708064311777008,-1.884128578845982,-0.7000216962216723,0.8408319638899793,0.2319343770904765
Adat1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Kars,0.08856750257537103,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Terf2ip,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cntnap4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mon1b,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Nudt7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Wwox,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm16118,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Maf,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm15655,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cdyl2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cmc2,0.08856750257537103,0.2615722360139493,0.2615722360139493,0.0,0.0,0.0,0.0,0.0
Cenpn,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Atmin,0.2615722360139493,0.2615722360139493,0.2615722360139493,0.0,0.0,0.0,0.0,0.0
1700030J22Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gcsh,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pkd1l2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gan,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cmip,0.01661974331393056,0.13454718524013493,0.5269192939921153,-29.059197677134392,-28.669813388295566,-27.60037990703205,0.427045154965336,0.0
Plcg2,0.009501095540355024,0.08856750257537103,0.2615722360139493,-26.522425620434582,0.0,0.0,0.0,0.0
Sdr42e1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Hsd17b2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mphosph6,0.2615722360139493,0.2615722360139493,0.2615722360139493,0.0,0.0,0.0,0.0,0.0
Cdh13,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Hsbp1,0.25302958982021384,0.6958441207714297,1.0,-1.2027485757124041,-0.05851450588242822,0.6188795401159871,0.5213389066828051,0.5025578714988514
Mlycd,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Osgin1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mbtps1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Hsdl1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Taf1c,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Wfdc1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Atp2c2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Meak7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cotl1,0.23797729618163055,0.7344923394458999,1.0,-0.07772957830318487,0.003931653777270097,0.12138297729504213,1.26871622098117,1.269126574239795
Klhl36,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Usp10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Crispld2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Zdhhc7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
A130014A01Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
6430548M08Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gse1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gins2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1190005I06Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
