"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tmem220",0.172984691257783,2.56348365802667,0.003,0.001,1
"Ighv1-9",0.172984691257783,2.3175498584352,0.003,0.001,1
"Spire1",0.172984691257783,3.09554637330385,0.003,0.001,1
"Cfap43",0.172984691257783,2.98912562757012,0.003,0.001,1
"Gm48646",0.172984691257783,2.55844835041227,0.003,0.001,1
"Maco1",0.173015409755834,-0.3167408852003,0.1,0.079,1
"Ccdc28a",0.173062519938105,0.286249839244191,0.048,0.035,1
"Chpf2",0.173073104132942,0.100733904522028,0.036,0.025,1
"Ly6k",0.173150064052979,-1.46526215924142,0.008,0.015,1
"Hist1h3f",0.173239777026862,0.707071680014848,0.01,0.005,1
"Mfsd9",0.173315300288107,1.57921104700989,0.003,0.001,1
"G730003C15Rik",0.173315300288107,2.04307105639703,0.003,0.001,1
"Cd244a",0.173315300288107,1.78899853222302,0.003,0.001,1
"Hhat",0.173315300288107,2.33036981211484,0.003,0.001,1
"Map1a",0.173315300288107,1.78849936400908,0.003,0.001,1
"Tmem79",0.173315300288107,1.77548431335039,0.003,0.001,1
"Csf3r",0.173315300288107,1.74872712409288,0.003,0.001,1
"Plcxd1",0.173315300288107,2.1062144685189,0.003,0.001,1
"Igkv10-96",0.173315300288107,1.79629090407111,0.003,0.001,1
"Igkv6-25",0.173315300288107,1.79800446766927,0.003,0.001,1
