gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infTLSwk3_median,median_IL10_KOTLS_median
Calhm5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Calhm6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Dse,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tspyl1,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Nt5dc1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm47512,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tspyl4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Frk,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Amd2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Hdac2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Marcks,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
5930403N24Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Lama4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fam229b,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tube1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fyn,0.00355004760201741,0.03914899424398587,0.24104446189127945,-30.379272076276898,-1.484954716809097,-0.24252256065886357,1.2744015127017725,0.450860340845933
Gm16364.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Traf3ip2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
E130307A14Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rev3l,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mfsd4b4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Slc16a10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rpf2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gtf3c6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Amd1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cdk19,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mettl24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cdc40,0.08856750257537103,0.08856750257537103,0.2615722360139493,0.0,0.0,0.0,0.0,0.0
Wasf1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fig4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Zbtb24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mical1,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Smpd2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cd164,0.0013596200585201577,0.01482221692419752,0.11319529494386421,0.4012226914526923,0.9208910088679503,30.297918640313856,0.6901916684611504,1.3170480263895739
Ccdc162,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
5730435O14Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cep57l1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sesn1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Foxo3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Afg1l,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Snx3,0.009501095540355024,0.08856750257537103,1.0,-27.408301272174388,0.0,0.0,0.0,0.0
Ostm1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sec63,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Scml4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm34006,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm48671,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sobp,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pdss2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Bend3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm9803,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1700021F05Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cd24a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4933404K13Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Qrsl1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rtn4ip1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Crybg1,0.08856750257537103,0.08856750257537103,0.08856750257537103,0.0,0.0,0.0,0.0,0.0
Atg5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Prdm1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm48065,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm35154,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm48066,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Prep,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Hace1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ascc3,0.2615722360139493,0.2615722360139493,0.2615722360139493,0.0,0.0,0.0,0.0,0.0
Lilr4b,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
