"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Runx1",5.48037579157363e-11,-1.05892561914874,0.693,0.784,1.09985661761091e-06
"Samsn1",5.5723307684899e-11,-2.04051174787617,0.297,0.517,1.11831106192824e-06
"Creb3",5.78020167931437e-11,1.24710962216763,0.521,0.219,1.1600286750216e-06
"Nmral1",6.29603161369626e-11,2.0449983519584,0.26,0.054,1.2635505845527e-06
"Il6st",6.50132546875218e-11,-1.87599062571771,0.26,0.476,1.30475100832387e-06
"Mbnl1",6.67965966588556e-11,0.504453958823743,0.969,0.914,1.34054089834657e-06
"Cyb5r1",6.79340153733582e-11,1.2880325588098,0.391,0.124,1.36336775452793e-06
"Rpl9",6.86142582277306e-11,-0.253022542970484,0.995,0.994,1.37701954837233e-06
"Ctse",7.24775760999004e-11,1.27531203549663,0.495,0.187,1.4545524747489e-06
"Coa5",7.7548880108407e-11,0.746501867808908,0.797,0.514,1.55632847489562e-06
"Map4k4",7.83910416351581e-11,-0.950891781746287,0.76,0.838,1.57322981457599e-06
"Atg3",7.95035917043796e-11,0.742317883917748,0.833,0.556,1.59555758191519e-06
"Prdx1",8.07769811869202e-11,0.658800684677111,0.974,0.93,1.6211132354403e-06
"Mettl1",8.43350976837934e-11,1.16592348873534,0.391,0.124,1.69252107541605e-06
"Myo6",8.49610045457115e-11,1.34373998004009,0.448,0.171,1.70508240022788e-06
"Scand1",8.51133095618461e-11,0.543601092759596,0.974,0.86,1.70813900959669e-06
"Cadm1",8.53312583128569e-11,0.782005089688225,0.891,0.775,1.71251302308073e-06
"Rasgrp3",9.29577562483326e-11,1.08127311096164,0.479,0.184,1.86556921014779e-06
"Cyb5a",9.46184557030098e-11,0.566460153099487,0.938,0.816,1.8988977875037e-06
"Eif4e",9.48588808171981e-11,-1.16140142811529,0.656,0.733,1.90372287912035e-06
"Smchd1",9.63568317741801e-11,-0.961641778496653,0.802,0.857,1.93378525687602e-06
"Lyst",9.92057841848146e-11,0.986072678552112,0.703,0.384,1.99096088280504e-06
"Fgd2",1.03021168836783e-10,0.863411989028146,0.76,0.441,2.0675318373854e-06
"Gpr18",1.03279100249535e-10,2.128369189426,0.214,0.032,2.07270826290792e-06
"Tes",1.04150157421579e-10,-0.805277829693319,0.75,0.825,2.09018950929367e-06
"Ppa1",1.1325708729778e-10,0.925538461053544,0.781,0.495,2.27295648497915e-06
"Os9",1.34592123644366e-10,0.862115155471539,0.672,0.321,2.70112932941878e-06
"Dapp1",1.35644168265525e-10,0.595951149354367,0.906,0.66,2.72224281292081e-06
"Txndc17",1.47589811403324e-10,0.714410425028197,0.964,0.851,2.9619799250533e-06
"Ppt2",1.48236319783723e-10,1.28588819864594,0.432,0.156,2.97495470173954e-06
"Vrk2",1.64193477845905e-10,1.08974775247823,0.573,0.244,3.29519890688948e-06
