"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm10451",0.109083411091737,0.698659416878635,0.008,0.002,1
"Gm10143",0.109083411091737,1.15247303453957,0.008,0.002,1
"Prrc2b",0.109085309848151,0.253788285349559,0.359,0.308,1
"Neurl2",0.109215706026794,0.702335065051482,0.023,0.012,1
"C130050O18Rik",0.109238529406033,-0.667985978140639,0.099,0.126,1
"Wdr59",0.109341129401728,0.774574464696995,0.023,0.012,1
"Fastkd1",0.109560620686313,-1.04650349527961,0.036,0.056,1
"Zfp605",0.109581579578473,-1.27151812860285,0.008,0.02,1
"Sparcl1",0.109763629638985,-0.850464305860791,0.005,0.016,1
"Eaf2",0.109763629638985,-0.856693673422944,0.005,0.016,1
"Trmt1",0.109793049222974,0.235475974704984,0.159,0.123,1
"Nfxl1",0.109793306692331,0.364887931205103,0.073,0.051,1
"Ttc21b",0.109906537169679,0.744334593783753,0.029,0.016,1
"1110032A03Rik",0.110143367988195,0.176202146140598,0.24,0.198,1
"Tnpo2",0.110143674400593,0.196324100645715,0.12,0.09,1
"Ddx23",0.110400806151494,0.181371917994149,0.305,0.255,1
"Avpi1",0.110419730341869,-0.280555685380951,0.544,0.57,1
"Lcmt2",0.110503120403145,-1.18590904183994,0.016,0.03,1
"Naa80",0.11051639021428,0.122418945988149,0.083,0.059,1
"Arpc1a",0.110566464203254,-0.260083181605343,0.526,0.535,1
"Rxra",0.110577713534269,0.656410880750268,0.029,0.016,1
"Cluap1",0.110603901136953,0.169349417187339,0.094,0.068,1
"Med25",0.110650581164391,-0.465476347094081,0.107,0.134,1
"Myc",0.110724465620974,-0.633969514539376,0.188,0.215,1
"Chpf2",0.110772766108193,0.504823720783166,0.062,0.043,1
"Ccne2",0.110802156941767,0.496136330446333,0.029,0.016,1
"Rsf1",0.110844260050756,0.158586582351849,0.464,0.4,1
"Mt1",0.11098322276001,-0.226449562219912,0.789,0.745,1
"Snta1",0.111227100363807,-1.20983014926272,0.008,0.02,1
"Zfp275",0.11130953374264,0.15916867468779,0.044,0.027,1
"Pstk",0.111312425821966,0.0756935930784497,0.081,0.057,1
"Rpgrip1",0.111345379879407,-1.26422228749083,0.008,0.02,1
"Rnf5",0.111370809757041,0.0223436518676117,0.211,0.164,1
"Dctn3",0.111381280383915,0.109645480664997,0.669,0.595,1
"Idh2",0.111518906078901,-0.259790095971599,0.333,0.367,1
"Smad2",0.111547403946769,-0.470155344744988,0.198,0.228,1
"Rnf168",0.111561753744421,0.242506452764884,0.185,0.147,1
"Oip5",0.111618280271826,0.461804754129835,0.023,0.012,1
"Nid1",0.111819490891918,-2.03652212553767,0.008,0.02,1
"Tmem68",0.11188265935527,0.309774712205084,0.089,0.065,1
"Atp5j2",0.111885352556893,-0.0629842337655733,0.924,0.94,1
"F11r",0.111993480058125,-0.548523446882987,0.151,0.178,1
"Ank2",0.11201986620507,-0.923425431486717,0.021,0.037,1
"Ube2a",0.112227729284916,-0.243221929096101,0.453,0.464,1
"Imp3",0.112262156011746,0.186880415837529,0.417,0.365,1
"Stxbp4",0.112274748773283,1.48953123571283,0.013,0.005,1
"Rrs1",0.11232408484198,-0.592562562927053,0.104,0.131,1
"Banp",0.11244191552553,-0.715111370773367,0.062,0.087,1
"Stt3b",0.112579153330615,-0.324159103331281,0.237,0.265,1
"Gm26917",0.112606863389531,-0.710984549060229,0.497,0.435,1
"Pdcd11",0.112743860853653,-0.640869897169888,0.206,0.228,1
"Lsm14a",0.112968166496699,0.111152815318794,0.365,0.316,1
"Zswim1",0.113119852579252,0.359927179744586,0.034,0.02,1
"Rassf3",0.113169419853868,0.237536087849914,0.612,0.559,1
"1300014J16Rik",0.11319889795039,1.83045507560106,0.013,0.005,1
"5730405O15Rik",0.11319889795039,1.26894320112223,0.013,0.005,1
"Gpd1l",0.113363241344856,-0.52154348549704,0.227,0.254,1
"Zfr2",0.113384444996437,1.85852134321025,0.013,0.005,1
"Mbnl2",0.113415994502335,-0.204375951968597,0.701,0.682,1
"Myo19",0.113570231546234,0.851517818738698,0.013,0.005,1
"Gcnt2",0.113651520121273,-0.0257903460553476,0.643,0.572,1
"Sppl2b",0.113740437277271,0.197790754831173,0.047,0.03,1
"Pfkfb2",0.113756257785429,1.56599688676815,0.013,0.005,1
"Gm43259",0.113756257785429,1.19014881687611,0.013,0.005,1
"Rps6ka4",0.113756257785429,1.31176578685179,0.013,0.005,1
"Vps13d",0.11377236393506,0.0314147983443034,0.195,0.153,1
"Usp36",0.113808118898149,0.229595455749232,0.188,0.15,1
"Gm16638",0.113942523899589,0.672027661389059,0.013,0.005,1
"Cycs",0.114000186471062,0.149964890747333,0.75,0.725,1
"Gm16286",0.114236216201592,-0.224545450691487,0.536,0.522,1
"Stn1",0.114305172197834,-0.803699639002462,0.052,0.074,1
"AI467606",0.114477619778951,0.411051007786122,0.094,0.069,1
"Gon4l",0.114486782051409,0.0761462851834995,0.211,0.171,1
"Zfp446",0.114502763346357,0.695710951213039,0.013,0.005,1
"Tagln",0.114502763346357,0.936095328685274,0.013,0.005,1
"Rae1",0.114528700931387,0.0520965175634625,0.203,0.16,1
"Chmp1b",0.114616010849148,0.164287075318678,0.31,0.259,1
"Nudt3",0.114632131916077,-0.140300912175126,0.294,0.236,1
"Ndst1",0.114849652395839,0.270525374819095,0.177,0.143,1
"Acat1",0.114909028594469,0.123461588776938,0.378,0.322,1
"Nubp2",0.114960079074782,0.114270316882266,0.211,0.17,1
"Snx27",0.114962279625867,0.255844673995859,0.12,0.09,1
"Gch1",0.11498980552973,-0.344834074709326,0.448,0.457,1
"Herc4",0.115030795702198,0.196518261405335,0.312,0.264,1
