gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infTLSwk6_median,median_IL10_KOTLS_median
Ttr,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
B4galt6,0.029867793297539916,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Trappc8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rnf125,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rnf138,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Mep1b,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Garem1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Klhl14,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4930426D05Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm15972,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mapre2,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Zfp397,0.2615722360139493,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Zfp35,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Zfp24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ino80c,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Galnt1,0.0007335473709934008,0.0024238779803224205,0.029254565586406815,-29.195154626565238,-28.98450442001284,-27.89085523769807,0.531135409871023,0.0
Gm38410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2700062C07Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rprd1a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Slc39a6,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Elp2,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mocos,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fhod3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tpgs2,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
AW554918,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Celf4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm49980,0.08856750257537103,0.2615722360139493,0.2615722360139493,0.0,0.0,0.0,0.0,0.0
Pik3c3,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Slc25a46,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sap130,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ammecr1l,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm26533,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Polr2d,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Wdr33,0.14474739940813305,0.6701526554660717,1.0,-0.3821257387471104,0.04720755875425778,1.8502615071932318,0.5041749418749506,0.517337486251356
Sft2d3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Lims2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Myo7b,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Iws1,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Map3k2,0.009501095540355024,0.2615722360139493,0.8822739356449067,-26.554322934898607,0.0,0.0,0.0,0.0
Ercc3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Bin1,0.20993367879593072,0.7039203384624914,1.0,-27.766655492652166,0.7398358830105689,28.738179628980788,0.09854797701523076,0.211691916141241
Gypc,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tslp,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Wdr36,0.2615722360139493,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Camk4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Stard4,0.08856750257537103,0.2615722360139493,0.2615722360139493,0.0,0.0,0.0,0.0,0.0
